序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,61,34,101,18,214
3,101,16,99,18,234
4,100,33,66,18,217
5,116,35,67,14,232
7,66,16,66,18,166
8,66,35,67,14,182
9,67,17,67,14,165
11,100,18,101,16,235
12,84,18,101,16,219
13,84,32,85,14,215
14,67,32,85,14,198
16,102,35,81,19,237
17,119,30,70,16,235
20,85,14,70,16,185
21,69,14,70,16,169
22,51,14,70,16,151
23,83,36,181,16,316
24,64,36,181,16,297
25,100,17,66,16,199
26,51,19,181,16,267
27,67,17,66,16,166
30,64,35,98,18,215
31,99,17,65,18,199
33,66,17,65,18,166
35,115,34,203,13,365
36,65,33,54,13,165
39,67,16,203,13,299
40,67,33,84,19,203
41,70,13,84,19,186
42,54,13,84,19,170
43,49,35,68,15,167
44,68,34,134,15,251
45,64,18,134,15,231
46,69,34,67,13,183
47,66,19,67,13,165
48,68,39,125,17,249
49,91,28,66,15,200
50,73,28,66,15,182
52,80,20,64,17,181
53,65,20,64,17,166
55,52,33,64,17,166
56,66,31,101,15,213
57,152,33,52,16,253
58,64,33,68,15,180
59,66,16,68,15,165
61,84,33,52,16,185
64,51,17,52,16,136
66,66,35,81,16,198
67,85,31,66,18,200
68,52,16,81,16,165
70,66,34,134,17,251
71,113,35,84,15,247
73,64,16,102,17,199
74,66,35,84,15,200
75,82,33,51,15,181
76,117,17,150,15,299
77,101,17,150,15,283
78,52,16,51,15,134
80,67,32,100,18,217
81,117,32,132,17,298
83,84,32,132,17,265
86,67,33,99,17,216
87,69,15,99,17,200
89,200,16,85,14,315
90,51,15,134,17,217
91,148,34,85,14,281
92,83,16,68,17,184
94,83,17,101,18,219
95,100,16,85,14,215
97,68,16,85,14,183
100,85,16,100,16,217
101,67,16,100,16,199
102,51,16,100,16,183
103,68,14,68,16,166
106,100,34,133,18,285
107,82,34,133,18,267
108,84,18,133,18,253
109,67,18,133,18,236
110,51,18,133,18,220
111,100,17,68,18,203
112,66,33,68,18,185
115,135,14,101,17,267
117,68,17,65,18,168
118,86,14,101,17,218
119,68,14,101,17,200
120,63,33,68,17,181
121,82,34,51,16,183
123,81,34,166,18,299
127,67,16,83,16,182
128,51,16,83,16,166
129,67,17,65,17,166
130,83,16,67,18,184
131,66,16,67,18,167
132,83,16,135,16,250
133,82,34,101,16,233
135,83,37,97,17,234
136,67,37,97,17,218
137,68,19,97,17,201
138,52,19,97,17,185
140,88,13,86,14,201
141,70,13,86,14,183
142,64,33,101,16,214
143,165,20,67,16,268
144,102,32,50,16,200
146,68,32,50,16,166
151,64,16,51,17,148
152,50,16,51,17,134
153,52,35,67,15,169
154,83,17,65,19,184
156,68,34,116,17,235
157,52,34,116,17,219
158,117,13,53,17,200
159,101,13,53,17,184
161,68,13,53,17,151
162,63,37,65,16,181
163,68,17,65,16,166
164,85,17,67,15,184
165,66,17,67,15,165
166,53,17,67,15,152
167,64,18,87,10,179
169,84,32,65,22,203
170,99,30,57,11,197
171,85,30,57,11,183
172,67,30,57,11,165
173,81,35,136,16,268
175,47,35,136,16,234
176,52,13,136,16,217
177,67,11,71,15,164
181,82,32,65,18,197
182,71,32,65,18,186
183,84,32,65,18,199
185,99,17,133,17,266
186,64,33,133,17,247
189,67,14,101,17,199
190,83,18,116,16,233
191,119,31,67,17,234
192,84,18,82,16,200
193,84,31,67,17,199
194,70,31,67,17,185
196,65,36,65,18,184
198,82,16,52,16,166
199,84,34,65,20,203
201,84,34,67,16,201
203,68,16,67,16,167
204,52,16,67,16,151
205,102,16,121,11,250
206,65,36,121,11,233
207,67,16,121,11,215
208,51,16,121,11,199
209,52,33,68,20,173
210,52,17,68,20,157
211,66,18,53,11,148
212,68,33,64,16,181
214,68,31,67,18,184
216,53,11,67,18,149
220,67,32,67,17,183
221,102,14,135,15,266
223,102,15,102,15,234
224,52,14,135,15,216
225,66,15,102,15,198
226,103,33,68,35,239
228,69,33,68,35,205
229,84,33,70,6,193
231,52,33,70,6,161
232,66,35,58,15,174
234,103,23,70,14,210
235,87,23,70,14,194
237,114,34,145,17,310
239,72,21,145,17,255
241,70,30,51,16,167
242,55,30,51,16,152
243,64,34,81,17,196
245,64,33,65,19,181
246,67,16,65,19,167
247,51,16,65,19,151
249,117,17,97,20,251
251,84,17,97,20,218
254,53,31,135,16,235
255,52,15,135,16,218
256,65,36,82,16,199
257,84,13,69,16,182
258,134,16,83,16,249
260,69,16,66,17,168
263,69,33,66,16,184
264,65,17,66,16,164
265,66,32,85,17,200
267,65,34,68,17,184
269,66,35,64,19,184
270,84,33,64,20,201
271,85,17,64,20,186
272,67,17,64,20,168
274,52,31,68,17,168
277,64,35,84,16,199
278,67,15,84,16,182
280,66,16,100,18,200
281,52,16,100,18,186
282,81,34,63,19,197
283,84,16,63,19,182
284,67,16,63,19,165
285,51,16,63,19,149
289,82,20,147,18,267
290,65,20,147,18,250
293,54,16,67,16,153
294,83,35,216,16,350
295,81,17,216,16,330
296,66,17,216,16,315
297,67,33,101,17,218
298,51,33,101,17,202
299,68,34,84,15,201
301,84,15,52,15,166
302,102,16,150,16,284
303,118,15,100,18,251
306,67,15,100,18,200
309,66,32,52,16,166
310,81,34,167,16,298
311,66,34,167,16,283
312,49,34,167,16,266
313,66,34,100,16,216
314,68,16,100,16,200
315,84,19,65,16,184
318,51,31,67,16,165
319,83,17,84,16,200
320,67,17,84,16,184
321,65,33,67,17,182
322,117,33,82,18,250
324,84,33,82,18,217
325,84,16,82,18,200
326,116,34,101,17,268
327,133,34,67,17,251
328,83,34,101,17,235
329,83,16,101,17,217
331,66,34,67,17,184
333,101,34,83,16,234
334,83,34,83,16,216
335,67,34,83,16,200
337,132,34,51,16,233
339,99,34,51,16,200
343,85,17,66,16,184
344,101,16,66,16,199
345,69,32,66,16,183
346,67,16,66,16,165
347,101,32,101,16,250
348,65,18,67,16,166
350,82,35,66,16,199
351,66,35,66,16,183
354,67,17,100,15,199
355,51,17,100,15,183
358,83,34,116,16,249
360,66,17,116,16,215
362,51,32,84,16,183
365,65,34,99,19,217
366,50,34,99,19,202
367,117,18,100,15,250
369,102,31,119,16,268
372,51,31,119,16,217
373,85,16,167,17,285
374,68,16,167,17,268
375,82,18,66,16,182
376,66,18,66,16,166
377,69,31,69,17,186
378,65,16,69,17,167
381,66,34,65,18,183
382,51,34,65,18,168
385,117,17,99,17,250
386,68,15,101,17,201
390,65,18,133,14,230
393,83,16,100,17,216
394,84,33,67,17,201
397,50,16,67,17,150
398,97,19,100,18,234
401,84,17,66,18,185
402,84,33,51,16,184
403,67,33,51,16,167
404,70,16,51,16,153
405,51,16,51,16,134
406,83,34,65,17,199
407,66,34,65,17,182
409,51,16,65,17,149
410,51,32,134,17,234
412,66,15,101,17,199
413,99,35,65,18,217
415,85,17,65,18,185
416,133,16,99,17,265
417,52,17,65,18,152
418,135,16,117,17,285
419,84,16,99,17,216
420,66,16,99,17,198
421,65,34,117,17,233
422,101,18,83,17,219
424,84,31,69,15,199
425,84,15,69,15,183
427,50,15,69,15,149
429,83,17,167,16,283
430,67,17,167,16,267
431,69,33,65,18,185
433,67,32,51,16,166
434,82,33,69,16,200
435,65,33,69,16,183
437,65,34,51,17,167
438,68,16,51,17,152
439,51,16,51,17,135
442,67,17,98,17,199
444,51,33,65,17,166
445,182,16,101,17,316
446,83,32,250,17,382
447,66,32,250,17,365
448,50,32,250,17,349
450,65,17,100,18,200
451,83,16,101,17,217
453,51,16,101,17,185
456,67,16,51,16,150
457,85,16,217,17,335
460,67,16,101,15,199
461,84,17,67,15,183
462,98,17,101,17,233
463,82,17,101,17,217
464,82,35,66,17,200
467,67,32,51,17,167
468,52,32,51,17,152
469,84,17,82,17,200
470,68,17,82,17,184
471,66,34,65,17,182
472,51,34,65,17,167
473,150,17,100,16,283
474,51,32,67,16,166
475,66,33,68,16,183
476,99,17,100,16,232
477,65,34,100,16,215
478,83,34,265,17,399
479,67,34,265,17,383
480,85,33,99,18,235
482,67,17,99,18,201
483,67,33,100,17,217
484,51,33,100,17,201
485,116,16,51,17,200
486,66,18,66,17,167
488,83,34,84,15,216
490,84,34,65,17,200
492,67,17,65,17,166
493,68,33,133,17,251
494,50,33,133,17,233
495,67,32,101,17,217
497,99,34,83,15,231
499,66,34,83,15,198
500,66,17,83,15,181
502,84,32,52,17,185
503,67,32,52,17,168
504,67,15,52,17,151
506,67,15,101,17,200
508,67,17,65,17,166
509,52,17,65,17,151
511,51,16,136,15,218
514,67,17,100,17,201
515,68,33,101,16,218
516,119,32,67,17,235
517,83,19,99,17,218
518,66,19,99,17,201
519,68,32,67,17,184
523,99,34,65,17,215
524,51,33,99,17,200
525,149,17,67,18,251
526,84,33,65,17,199
527,67,33,65,17,182
528,66,18,65,17,166
529,166,34,67,15,282
531,65,33,68,17,183
532,50,33,68,17,168
533,65,34,133,17,249
534,67,17,133,17,234
536,68,16,67,15,166
538,51,34,149,18,252
539,85,16,84,15,200
541,67,32,52,15,166
542,50,32,52,15,149
544,65,16,169,16,266
545,65,34,83,16,198
546,151,32,52,15,250
548,67,18,116,15,216
552,66,16,52,15,149
553,64,36,66,15,181
554,84,31,86,15,216
555,68,31,86,15,200
556,68,15,86,15,184
558,84,33,66,17,200
559,99,33,116,17,265
560,65,18,66,17,166
