序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,136,33,135,14,318
2,61,34,66,18,179
3,84,33,135,14,266
5,67,16,135,14,232
6,67,33,102,14,216
7,66,16,102,14,198
9,133,18,165,17,333
11,118,32,268,16,434
12,102,32,268,16,418
13,66,18,165,17,266
14,67,32,268,16,383
15,63,18,268,16,365
16,118,19,64,17,218
17,66,18,51,14,149
18,82,19,64,17,182
19,68,19,64,17,168
22,99,36,115,17,267
23,100,19,115,17,251
24,116,17,82,17,232
25,100,17,82,17,216
26,51,19,115,17,202
27,67,17,82,17,183
30,64,35,82,16,197
33,66,17,119,13,215
34,133,34,68,16,251
35,82,33,102,16,233
37,100,16,68,16,200
39,67,16,68,16,167
40,87,13,84,19,203
43,84,34,101,13,232
44,84,18,101,13,216
45,64,18,101,13,196
46,142,28,97,17,284
47,85,39,125,17,266
49,91,28,97,17,233
51,58,28,97,17,200
52,67,33,97,17,214
53,118,31,68,16,233
54,61,33,99,16,209
56,66,31,68,16,181
58,64,33,68,15,180
60,81,18,85,16,200
61,84,33,52,16,185
62,68,33,52,16,169
63,67,17,52,16,152
64,83,18,66,19,186
65,66,18,66,19,169
67,69,16,97,18,200
68,52,16,97,18,183
69,53,31,185,15,284
70,66,34,67,17,184
71,97,16,52,16,181
72,115,17,67,17,216
73,64,16,52,16,148
75,65,17,67,17,166
76,67,33,51,15,166
77,68,16,51,15,150
79,67,17,67,16,167
81,67,15,67,18,167
82,51,15,67,18,151
83,84,32,51,15,182
84,99,33,83,16,231
88,65,33,66,17,181
89,67,15,66,17,165
90,84,16,66,18,184
92,99,34,51,17,201
93,81,34,51,17,183
94,66,34,51,17,168
96,84,16,132,17,249
97,68,16,132,17,233
98,68,34,51,14,167
100,85,16,100,16,217
101,67,16,100,16,199
102,85,14,68,16,183
103,68,14,68,16,166
104,82,16,69,16,183
105,65,16,69,16,166
106,65,35,99,18,217
108,68,34,83,19,204
109,67,18,83,19,187
111,52,32,51,19,154
112,82,17,68,18,185
113,66,17,68,18,169
114,83,19,81,15,198
115,86,31,65,18,200
116,51,19,81,15,166
117,54,31,65,18,168
118,100,33,85,16,234
120,81,15,85,16,197
122,65,34,101,16,216
124,67,34,116,16,233
125,66,17,116,16,215
126,68,33,83,16,200
128,101,32,67,18,218
129,67,17,99,18,201
130,67,32,67,18,184
131,82,33,52,19,186
132,66,33,52,19,170
134,82,17,50,17,166
135,83,37,198,16,334
136,85,19,198,16,318
138,71,30,102,18,221
140,50,17,102,18,187
142,64,33,101,16,214
143,51,33,101,16,201
144,67,35,82,16,200
146,68,32,50,16,166
148,53,14,50,16,133
149,64,20,67,16,167
151,64,16,102,15,197
152,50,16,102,15,183
153,52,35,67,15,169
154,67,33,84,13,197
157,52,34,63,20,169
158,117,13,70,14,214
159,66,16,52,17,151
160,65,32,70,14,181
161,81,37,65,16,199
162,83,17,65,16,181
163,68,17,65,16,166
164,52,17,65,16,150
165,66,17,67,15,165
166,118,19,52,10,199
