序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,117,16,101,15,249
3,104,16,101,15,236
4,117,17,115,19,268
5,117,33,115,19,284
7,116,34,116,16,282
8,117,17,116,16,266
9,117,32,100,18,267
11,116,35,133,17,301
12,115,19,133,17,284
13,119,33,117,15,284
14,101,33,117,15,266
16,116,16,118,16,266
17,101,16,118,16,251
20,133,32,118,16,299
21,119,32,118,16,285
22,117,15,118,16,266
23,116,34,117,16,283
24,118,16,117,16,267
25,116,33,133,16,298
26,100,33,133,16,282
27,117,34,115,17,283
30,101,33,116,16,266
31,116,33,118,15,282
33,116,33,133,16,298
35,116,33,116,19,284
36,115,17,116,19,267
39,115,34,116,17,282
40,118,15,116,17,266
41,117,33,117,19,286
42,133,35,101,16,285
43,117,35,101,16,269
44,116,19,101,16,252
45,118,31,119,16,284
46,102,31,119,16,268
47,114,34,116,19,283
48,99,34,116,19,268
49,117,36,130,19,302
50,117,19,130,19,285
52,101,30,119,17,267
53,114,35,118,16,283
55,118,34,132,17,301
56,101,34,132,17,284
57,118,31,118,17,284
58,114,16,118,17,265
59,114,36,132,17,299
61,117,33,116,16,282
64,132,34,115,19,300
66,118,17,115,19,269
67,116,33,118,15,282
68,115,17,118,15,265
70,116,16,100,17,249
71,116,33,118,16,283
73,116,35,117,16,284
74,115,19,117,16,267
75,118,32,116,17,283
76,118,15,116,17,266
77,116,34,132,18,300
78,100,34,132,18,284
80,118,16,117,17,268
81,102,16,117,17,252
83,100,16,117,16,249
86,132,35,132,17,316
87,115,35,132,17,299
89,116,33,116,16,281
90,117,16,116,16,265
91,102,16,116,16,250
92,101,33,133,16,283
94,117,17,116,18,268
95,99,17,116,18,250
97,115,33,119,16,283
100,116,17,118,15,266
101,117,34,132,19,302
102,116,18,132,19,285
103,118,34,132,19,303
106,102,33,118,14,267
107,102,16,118,14,250
108,118,15,118,15,266
109,102,15,118,15,250
110,118,14,117,19,268
111,116,34,119,16,285
112,117,15,119,16,267
115,101,14,102,15,232
117,114,36,116,17,283
118,100,36,116,17,269
119,117,33,132,16,298
120,102,33,132,16,283
121,116,32,100,16,264
123,116,32,117,19,284
127,116,32,117,16,281
128,116,16,117,16,265
129,117,34,132,17,300
130,100,34,132,17,283
131,100,18,132,17,267
132,102,34,131,17,284
133,117,32,135,16,300
135,116,33,102,16,267
136,117,16,102,16,251
137,101,16,102,16,235
138,132,33,102,17,284
140,115,16,102,17,250
141,114,36,133,15,298
142,116,19,133,15,283
143,118,33,115,17,283
144,102,33,115,17,267
146,119,16,134,14,283
151,117,32,133,18,300
152,115,17,133,18,283
153,115,35,116,17,283
154,115,19,116,17,267
156,114,18,117,16,265
157,116,32,101,17,266
158,115,16,101,17,249
159,116,34,119,14,283
161,117,35,116,16,284
162,116,17,116,16,265
163,119,32,133,17,301
164,101,32,133,17,283
165,117,33,134,17,301
166,101,33,134,17,285
167,117,33,134,16,300
169,115,34,116,17,282
170,116,16,116,17,265
171,116,33,118,15,282
172,117,16,118,15,266
173,116,34,135,15,300
175,115,33,117,17,282
176,118,16,117,17,268
177,116,33,118,15,282
181,116,36,117,15,284
182,135,32,117,17,301
183,118,32,117,17,284
185,101,17,117,17,252
186,101,32,102,16,251
189,119,32,117,17,285
190,117,15,117,17,266
191,102,15,117,17,251
192,100,34,116,17,267
193,117,33,115,18,283
194,102,33,115,18,268
196,131,35,117,16,299
198,117,17,117,16,267
199,117,33,121,27,298
201,117,33,115,18,283
203,117,33,135,16,301
204,118,16,135,16,285
205,116,34,117,17,284
