序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,113,16,117,17,263
2,117,16,101,15,249
3,104,16,101,15,236
5,117,33,134,16,300
6,115,18,134,16,283
7,116,34,116,16,282
9,117,32,118,16,283
11,116,35,133,17,301
12,115,19,133,17,284
13,119,33,132,18,302
14,101,33,132,18,284
15,117,32,134,17,300
16,116,16,134,17,283
17,101,16,134,17,268
18,100,34,117,16,267
19,118,34,116,17,285
22,117,15,118,16,266
23,116,34,117,16,283
24,118,16,117,16,267
25,116,33,133,16,298
26,100,33,133,16,282
27,117,34,115,17,283
30,118,16,116,16,266
33,116,33,133,16,298
34,133,33,135,17,318
35,116,33,135,17,301
37,115,33,119,14,281
39,115,34,116,17,282
40,118,15,116,17,266
43,117,35,101,16,269
44,116,19,101,16,252
45,118,31,135,15,299
46,102,31,135,15,283
47,114,34,135,15,298
49,117,36,130,19,302
51,120,30,119,17,286
52,101,30,119,17,267
53,133,16,118,16,283
54,119,16,118,16,269
56,116,19,132,17,284
58,130,36,132,17,315
60,119,17,132,17,285
61,117,33,116,16,282
62,118,16,116,16,266
63,119,32,117,16,284
64,132,34,115,19,300
65,117,34,115,19,285
67,116,33,118,15,282
68,115,17,118,15,265
69,132,16,117,17,282
70,116,16,117,17,266
71,116,33,118,16,283
72,117,16,118,16,267
73,116,35,117,16,284
75,118,32,116,17,283
76,118,15,116,17,266
77,116,34,132,18,300
79,117,33,134,17,301
81,118,34,117,16,285
82,117,16,117,16,266
83,116,32,101,17,266
84,116,17,101,17,251
88,117,17,132,17,283
89,116,33,132,17,298
90,117,16,132,17,282
92,101,33,133,16,283
93,133,17,116,18,284
94,117,17,116,18,268
96,132,33,119,16,300
97,115,33,119,16,283
98,116,16,119,16,267
100,116,17,118,15,266
101,133,18,132,19,302
102,116,18,132,19,285
103,118,34,132,19,303
104,117,18,132,19,286
105,118,33,118,14,283
106,119,16,118,14,267
108,118,15,118,15,266
109,117,33,117,19,286
111,116,34,119,16,285
112,117,15,119,16,267
113,115,33,102,15,265
114,118,14,102,15,249
115,115,33,117,16,281
116,100,33,117,16,266
117,114,36,116,17,283
118,117,19,116,17,269
120,102,33,132,16,283
122,102,32,100,16,250
124,117,16,117,19,269
125,116,36,117,15,284
126,116,17,117,15,265
128,132,34,132,17,315
129,117,34,132,17,300
130,100,34,132,17,283
131,100,18,132,17,267
132,117,19,131,17,284
134,117,15,135,16,283
135,116,33,102,16,267
136,117,16,102,16,251
138,132,33,119,17,301
140,115,16,119,17,267
142,116,19,133,15,283
143,118,33,132,16,299
144,102,33,132,16,283
146,119,16,134,14,283
148,102,34,114,18,268
149,102,17,114,18,251
151,117,32,133,18,300
152,115,17,133,18,283
153,115,35,133,16,299
154,115,19,133,16,283
157,116,32,118,16,282
158,115,16,118,16,265
159,116,34,119,14,283
