序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
362,15,37,16,14,82
365,0,30,19,16,65
367,19,16,35,14,84
369,16,19,14,16,65
370,19,30,19,16,84
371,14,16,19,16,65
373,35,32,19,16,102
375,16,16,19,16,67
377,19,16,17,16,68
378,33,16,15,17,81
379,17,16,15,17,65
380,48,33,18,17,116
381,32,33,18,17,100
384,16,35,17,16,84
386,17,33,32,18,100
389,0,32,34,19,85
390,15,34,19,17,85
391,0,34,19,17,70
392,16,36,79,20,151
393,0,36,79,20,135
394,0,17,79,20,116
395,15,16,48,20,99
396,16,34,14,20,84
397,0,34,14,20,68
399,14,20,32,18,84
400,20,32,18,16,86
401,16,16,18,16,66
402,16,34,15,19,84
403,18,16,15,19,68
404,31,19,16,18,84
406,19,34,31,19,103
407,0,34,31,19,84
408,34,15,19,15,83
409,31,34,34,16,115
410,15,34,34,16,99
413,16,18,16,15,65
414,18,31,18,18,85
415,16,15,18,18,67
416,15,36,16,18,85
417,18,18,16,18,70
419,0,34,16,15,65
420,18,31,17,17,83
421,16,15,17,17,65
424,17,34,16,16,83
425,16,18,16,16,66
426,69,15,16,19,119
427,51,15,16,19,101
428,35,15,16,19,85
429,34,35,16,14,99
430,15,35,16,14,80
431,35,30,19,15,99
432,19,30,19,15,83
434,14,34,19,15,82
435,19,15,19,15,68
436,15,34,16,18,83
437,0,34,16,18,68
438,15,34,14,18,81
439,34,32,17,19,102
440,18,32,17,19,86
442,18,36,16,15,85
443,0,36,16,15,67
444,19,31,16,19,85
445,16,15,16,19,66
447,16,19,16,18,69
448,19,34,16,17,86
449,16,18,16,17,67
450,18,33,16,16,83
451,0,33,16,16,65
452,33,16,15,20,84
453,16,16,15,20,67
454,31,20,16,15,82
458,15,34,16,16,81
459,15,19,16,16,66
460,19,32,16,19,86
461,16,16,16,19,67
463,0,35,15,18,68
464,19,33,15,19,86
465,67,34,15,16,132
466,52,34,15,16,117
467,34,34,15,16,99
468,19,34,15,16,84
469,0,34,15,16,65
472,16,34,34,16,100
473,19,15,34,16,84
474,15,34,16,18,83
475,19,15,16,18,68
476,15,34,15,19,83
478,18,34,13,19,84
481,13,19,16,18,66
483,16,18,17,16,67
485,0,33,16,16,65
486,16,32,16,20,84
487,16,16,16,20,68
488,16,36,15,15,82
489,16,20,15,15,66
490,20,30,20,15,85
491,15,15,20,15,65
492,15,35,16,19,85
493,20,15,16,19,70
494,15,35,15,15,80
495,16,19,15,15,65
496,19,30,16,19,84
498,15,35,31,19,100
499,16,19,31,19,85
500,35,15,19,15,84
501,16,15,19,15,65
502,15,34,20,13,82
503,19,15,20,13,67
504,15,33,35,18,101
505,20,13,35,18,86
507,20,15,18,16,69
508,15,34,16,16,81
509,34,32,16,19,101
511,16,16,16,19,67
514,19,33,16,18,86
515,15,18,16,18,67
517,16,18,16,16,66
518,18,32,17,18,85
524,16,34,50,15,115
525,0,34,50,15,99
526,67,15,17,15,114
527,50,15,17,15,97
529,20,15,17,15,67
530,15,32,20,15,82
531,17,15,20,15,67
533,82,18,16,18,134
534,62,18,16,18,114
535,47,18,16,18,99
536,31,18,16,18,83
537,16,18,16,18,68
538,18,34,32,20,104
540,18,32,20,15,85
541,16,16,20,15,67
542,16,35,17,15,83
544,15,32,17,19,83
545,0,32,17,19,68
546,15,36,16,18,85
547,0,36,16,18,70
549,0,34,17,14,65
551,0,31,15,19,65
552,14,34,17,14,79
554,36,14,34,19,103
556,14,34,19,15,82
557,20,14,19,15,68
559,0,34,16,18,68
560,49,34,16,18,117
561,34,34,16,18,102
562,18,34,16,18,86
563,34,34,15,15,98
566,33,15,20,14,82
567,15,15,20,14,64
568,15,34,17,19,85
570,14,36,13,19,82
571,17,19,13,19,68
572,19,32,16,19,86
573,82,15,20,15,132
575,50,15,20,15,100
576,34,15,20,15,84
577,15,15,20,15,65
578,15,35,15,20,85
579,20,15,15,20,70
580,15,35,15,15,80
581,0,35,15,15,65
583,49,16,15,20,100
584,34,16,15,20,85
586,16,35,16,14,81
588,20,30,17,18,85
589,82,15,17,16,130
592,35,15,17,16,83
593,17,15,17,16,65
594,99,18,16,18,151
595,84,18,16,18,136
597,51,18,16,18,103
598,32,18,16,18,84
599,34,34,33,16,117
600,18,34,33,16,101
601,16,18,33,16,83
602,18,33,16,15,82
603,17,16,16,15,64
604,32,15,19,14,80
606,0,15,19,14,48
607,0,33,17,19,69
608,14,36,16,17,83
609,0,36,16,17,69
613,0,34,16,18,68
615,16,18,32,15,81
616,18,32,15,19,84
617,17,15,15,19,66
618,15,34,15,18,82
621,15,18,16,18,67
624,18,31,17,15,81
625,16,15,17,15,63
626,15,32,19,15,81
627,17,15,19,15,66
628,15,34,20,16,85
629,0,34,20,16,70
630,15,36,15,18,84
631,0,36,15,18,69
633,15,18,16,15,64
634,18,31,18,15,82
637,0,33,19,16,68
638,15,35,16,19,85
640,16,35,16,15,82
641,0,35,16,15,66
643,16,15,17,19,67
644,15,36,16,14,81
645,85,15,15,20,135
648,33,15,15,20,83
650,15,35,15,19,84
651,15,20,15,19,69
654,52,31,16,19,118
655,33,31,16,19,99
656,18,31,16,19,84
657,16,15,16,19,66
659,16,19,15,17,67
660,19,32,18,16,85
661,15,17,18,16,66
662,17,34,16,18,85
663,18,16,16,18,68
664,16,34,31,20,101
666,18,31,20,14,83
667,16,15,20,14,65
668,15,34,17,16,82
669,20,14,17,16,67
670,0,14,17,16,47
671,17,16,16,20,69
672,16,36,17,14,83
673,16,20,17,14,67
674,20,31,17,18,86
675,17,14,17,18,66
676,31,18,16,15,80
677,17,18,16,15,66
678,18,31,118,15,182
679,16,15,118,15,164
680,15,36,82,15,148
681,36,35,47,15,133
684,20,31,16,15,82
685,15,16,16,15,62
686,32,15,20,15,82
687,16,15,20,15,66
688,35,15,16,18,84
694,18,34,17,15,84
695,51,15,16,18,100
696,35,15,16,18,84
697,17,15,16,18,66
698,15,34,17,16,82
700,18,33,15,19,85
701,0,33,15,19,67
703,15,19,15,16,65
704,19,31,23,12,85
705,15,16,23,12,66
706,16,35,15,18,84
707,23,12,15,18,68
