序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,58,33,51,15,157
3,50,33,51,15,149
4,51,16,51,15,133
5,67,17,81,17,182
7,51,31,67,22,171
8,51,15,67,22,155
9,86,29,66,18,199
11,65,17,66,18,166
12,67,33,51,17,168
13,72,11,51,17,151
14,51,11,51,17,130
16,66,35,65,18,184
17,62,17,65,18,162
20,67,33,67,16,183
21,66,16,67,16,165
22,65,36,64,17,182
23,50,36,64,17,167
24,51,18,64,17,150
25,52,31,50,18,151
26,67,33,67,18,185
27,65,17,67,18,167
30,50,18,82,16,166
31,52,32,84,17,185
33,68,17,66,18,169
35,65,16,67,17,165
36,84,17,66,16,183
39,51,32,68,16,167
40,67,34,68,16,185
41,66,17,68,16,167
42,66,34,50,21,171
43,64,18,50,21,153
44,68,34,55,14,171
45,67,18,55,14,154
46,50,18,55,14,137
47,52,37,63,16,168
48,50,21,63,16,150
49,55,32,81,15,183
50,55,14,81,15,165
52,63,34,65,17,179
53,61,18,65,17,161
55,68,15,51,17,151
56,65,34,67,17,183
57,66,17,67,17,167
58,65,34,83,15,197
59,66,17,83,15,181
61,84,34,67,16,201
64,67,31,52,15,165
66,65,36,65,18,184
67,66,18,65,18,167
68,67,31,52,16,166
70,52,15,52,16,135
71,83,34,67,17,201
73,67,16,67,17,167
74,52,16,67,17,152
75,66,17,67,17,167
76,68,33,65,18,184
77,66,17,65,18,166
78,67,34,82,16,199
80,67,31,67,17,182
81,51,31,67,17,166
83,66,17,64,19,166
86,51,16,51,18,136
87,66,15,71,14,166
89,67,18,81,18,184
90,51,18,81,18,168
91,52,34,65,15,166
92,71,31,83,18,203
94,65,34,67,15,181
95,83,33,68,16,200
97,66,18,68,16,168
100,67,34,82,18,201
101,52,34,82,18,186
102,68,32,68,15,183
103,52,32,68,15,167
106,65,35,64,19,183
107,66,18,64,19,167
108,68,31,68,17,184
109,52,31,68,17,168
110,66,33,52,14,165
111,66,16,52,14,148
112,64,35,82,18,199
115,51,31,69,17,168
117,66,16,51,17,150
118,66,34,66,17,183
119,65,18,66,17,166
120,51,18,66,17,152
121,67,17,65,18,167
123,52,32,85,16,185
127,50,35,82,17,184
128,68,33,66,17,184
129,68,16,66,17,167
130,68,33,66,17,184
131,65,18,66,17,166
132,66,33,68,16,183
133,82,33,83,18,216
135,51,33,83,18,185
136,66,35,66,17,184
137,50,35,66,17,168
138,68,31,52,15,166
140,66,35,66,17,184
141,66,18,66,17,167
142,66,32,51,16,165
143,50,32,51,16,149
144,52,15,51,16,134
146,66,33,67,18,184
151,67,16,66,16,165
152,67,34,66,18,185
153,51,34,66,18,169
154,50,16,66,18,150
156,66,34,85,16,201
157,64,18,85,16,183
158,66,35,66,17,184
159,51,35,66,17,169
161,53,33,82,16,184
162,85,16,65,17,183
163,67,16,65,17,165
164,66,33,67,16,182
165,52,33,67,16,168
166,66,32,69,16,183
167,81,35,82,16,214
169,65,18,82,16,181
170,67,34,64,18,183
171,67,18,64,18,167
172,69,32,66,16,183
173,52,32,66,16,166
175,66,16,68,15,165
176,64,34,67,16,181
177,66,16,67,16,165
181,65,18,66,19,168
182,67,34,84,16,201
183,67,18,84,16,185
185,68,16,68,17,169
186,66,35,65,18,184
189,68,16,84,16,184
190,68,32,68,16,184
191,66,15,68,16,165
192,65,35,82,17,199
193,66,17,82,17,182
194,67,33,66,17,183
196,52,16,66,17,151
198,67,32,66,19,184
199,65,17,66,19,167
201,67,16,52,16,151
203,68,15,68,17,168
204,66,35,50,17,168
205,68,16,50,17,151
206,52,16,50,17,135
207,67,16,67,17,167
208,68,34,64,19,185
209,66,17,64,19,166
210,50,17,64,19,150
211,83,31,86,16,216
212,67,31,86,16,200
214,64,34,68,16,182
216,65,36,64,18,183
220,52,16,67,17,152
221,51,32,52,15,150
223,66,17,83,17,183
224,67,32,68,15,182
225,51,32,68,15,166
226,52,15,68,15,150
228,65,35,67,17,184
229,66,17,67,17,167
231,51,33,65,18,167
232,68,34,66,16,184
234,67,31,85,16,199
235,52,31,85,16,184
237,49,35,66,18,168
239,65,16,52,14,147
241,67,16,67,16,166
242,66,32,67,19,184
243,68,14,67,19,168
245,67,16,67,16,166
246,67,32,83,21,203
247,65,16,83,21,185
249,67,16,69,15,167
251,51,32,52,16,151
254,69,31,67,17,184
255,53,31,67,17,168
256,52,16,67,17,152
257,52,32,52,15,151
258,63,35,82,18,198
260,50,17,82,18,167
263,65,17,51,17,150
264,65,35,66,16,182
265,65,18,66,16,165
267,52,33,67,16,168
269,51,33,67,16,167
270,66,34,65,16,181
271,66,18,65,16,165
272,67,33,82,17,199
274,50,17,82,17,166
277,65,18,66,17,166
278,66,33,67,16,182
280,50,17,67,16,150
281,51,33,84,16,184
282,66,34,66,17,183
283,67,17,66,17,167
284,50,17,66,17,150
285,51,33,85,15,184
289,67,18,65,18,168
290,68,32,84,17,201
293,50,33,68,15,166
294,65,34,83,18,200
295,66,16,83,18,183
296,67,34,67,15,183
297,67,17,67,15,166
298,68,34,65,16,183
299,50,34,65,16,165
301,66,18,67,16,167
302,67,32,68,16,183
303,52,32,68,16,168
306,67,33,67,14,181
309,52,33,65,18,168
310,66,34,65,17,182
311,66,18,65,17,166
312,67,31,83,18,199
313,51,31,83,18,183
314,65,34,67,18,184
315,67,16,67,18,168
318,51,16,52,15,134
319,65,18,67,16,166
320,67,33,67,18,185
321,68,15,67,18,168
322,52,15,67,18,152
324,67,33,50,16,166
325,65,17,50,16,148
326,50,17,50,16,133
327,69,16,67,16,168
328,51,16,67,16,150
329,51,32,51,16,150
331,65,18,66,18,167
333,51,32,52,16,151
334,51,16,52,16,135
335,50,34,83,16,183
337,68,16,65,17,166
339,66,16,83,17,182
343,66,17,66,17,166
344,67,33,50,18,168
345,83,33,67,18,201
346,67,33,67,18,185
347,66,17,67,18,168
348,66,35,82,17,200
350,50,18,82,17,167
351,52,32,67,16,167
354,66,33,66,18,183
355,65,17,66,18,166
358,66,33,85,16,200
360,66,34,67,16,183
362,51,16,67,16,150
365,67,16,66,17,166
366,51,16,66,17,150
367,50,33,66,18,167
369,66,16,67,17,166
372,66,34,66,17,183
373,67,16,66,17,166
374,51,16,66,17,150
375,67,16,66,17,166
376,67,33,67,16,183
377,65,17,67,16,165
378,66,33,68,16,183
381,67,17,84,16,184
382,67,34,66,17,184
385,51,32,51,17,151
386,66,34,68,16,184
390,51,17,50,16,134
393,51,32,68,15,166
394,50,16,68,15,149
397,67,17,66,16,166
398,51,17,66,16,150
401,64,19,66,17,166
402,66,33,84,16,199
403,51,33,84,16,184
404,66,33,67,17,183
405,52,33,67,17,169
406,66,33,68,16,183
407,67,16,68,16,167
409,68,16,67,16,167
410,51,16,67,16,150
412,68,33,65,18,184
413,66,17,65,18,166
415,66,17,84,16,183
416,66,32,68,16,182
417,66,16,68,16,166
418,65,36,66,15,182
419,67,18,66,15,166
420,68,32,68,16,184
421,68,16,68,16,168
422,68,34,67,17,186
424,66,34,81,17,198
425,50,34,81,17,182
427,52,33,65,18,168
429,52,36,63,16,167
430,69,29,68,16,182
431,65,17,68,16,166
433,66,16,67,16,165
434,63,34,66,17,180
435,67,18,66,17,168
437,66,17,82,18,183
438,50,17,82,18,167
439,67,17,67,17,168
442,65,35,66,16,182
444,67,33,92,12,204
445,67,16,92,12,187
446,52,16,92,12,172
447,51,33,59,12,155
448,66,33,70,19,188
450,66,38,65,17,186
451,75,12,65,17,169
453,55,32,85,16,188
456,51,14,68,17,150
457,66,19,83,16,184
460,68,30,70,16,184
461,51,30,70,16,167
462,83,16,85,15,199
463,67,16,85,15,183
464,67,33,67,17,184
467,65,19,82,17,183
468,68,32,67,17,184
469,68,15,67,17,167
470,67,32,52,17,168
471,51,32,52,17,152
472,64,35,68,15,182
473,65,17,68,15,165
474,67,34,64,18,183
475,50,34,64,18,166
476,52,17,64,18,151
477,65,20,83,14,182
478,68,30,53,14,165
479,66,15,53,14,148
480,64,35,65,19,183
482,65,32,52,17,166
483,68,14,52,17,151
484,53,14,52,17,136
485,67,15,69,15,166
486,65,36,85,15,201
488,52,17,85,15,169
490,69,32,84,17,202
492,65,35,66,15,181
493,70,15,66,15,166
494,52,15,66,15,148
495,52,31,68,15,166
497,64,17,67,15,163
499,50,33,66,18,167
500,68,34,65,18,185
502,67,32,51,16,166
503,52,32,51,16,151
504,66,33,67,17,183
506,65,34,67,16,182
508,51,16,67,16,150
509,82,34,51,15,182
511,66,17,51,15,149
514,66,34,67,17,184
515,68,15,67,17,167
516,51,15,67,17,150
517,67,18,67,14,166
518,69,32,82,18,201
519,65,17,82,18,182
523,66,18,82,17,183
524,67,33,66,17,183
525,65,18,66,17,166
526,65,34,66,17,182
527,66,19,66,17,168
528,67,32,67,16,182
529,67,17,67,16,167
531,68,17,84,16,185
532,66,33,67,16,182
533,68,16,67,16,167
534,51,16,67,16,150
536,68,32,69,14,183
538,51,16,69,14,150
539,51,34,67,16,168
541,67,18,66,15,166
542,69,32,83,16,200
544,67,34,65,16,182
545,66,18,65,16,165
546,66,31,66,18,181
548,65,34,66,16,181
552,66,34,52,16,168
553,66,16,52,16,150
554,66,36,80,19,201
555,66,20,80,19,185
556,70,32,67,14,183
558,52,16,67,14,149
559,52,34,65,18,169
560,80,19,66,15,180
563,52,32,67,16,167
565,51,34,66,16,167
566,66,33,69,13,181
567,52,33,69,13,167
568,67,33,67,16,183
569,65,17,67,16,165
570,66,36,65,16,183
571,51,36,65,16,168
574,67,34,65,18,184
575,67,18,65,18,168
576,65,31,52,16,164
577,52,31,52,16,151
578,65,34,66,19,184
579,68,15,66,19,168
581,67,16,67,16,166
582,52,16,67,16,151
583,66,15,69,15,165
584,66,35,83,17,201
587,66,18,66,16,166
588,69,33,82,17,201
589,65,18,82,17,182
590,67,33,66,14,180
591,67,17,66,14,164
594,67,32,51,17,167
595,66,17,51,17,151
596,66,35,82,16,199
597,64,21,82,16,183
598,67,33,65,17,182
599,52,33,65,17,167
600,51,17,65,17,150
601,54,32,66,17,169
603,66,16,67,17,166
604,65,33,51,16,165
605,66,16,51,16,149
606,66,34,83,18,201
607,66,17,83,18,184
608,67,33,68,17,185
609,67,16,68,17,168
610,51,16,68,17,152
612,67,34,66,17,184
613,66,18,66,17,167
614,68,34,66,17,185
615,50,34,66,17,167
616,51,17,66,17,151
619,66,17,83,16,182
620,66,33,66,17,182
622,51,16,66,17,150
624,67,32,68,16,183
626,66,36,64,18,184
627,51,36,64,18,169
628,68,32,50,16,166
630,68,32,51,16,167
631,67,16,51,16,150
632,64,34,82,18,198
633,67,16,82,18,183
636,51,16,67,16,150
638,66,34,82,18,200
639,83,34,66,17,200
640,67,34,66,17,184
641,50,34,66,17,167
642,68,32,51,17,168
643,52,32,51,17,152
645,66,18,66,17,167
646,66,34,65,18,183
647,67,17,65,18,167
649,52,32,51,17,152
650,66,33,69,16,184
653,67,17,83,16,183
655,51,34,65,17,167
656,69,33,66,16,184
658,50,17,66,16,149
660,65,34,66,16,181
661,66,17,66,16,165
662,66,36,64,17,183
666,66,34,67,15,182
667,66,18,67,15,166
668,64,34,83,16,197
669,51,34,83,16,184
672,67,33,65,17,182
674,66,33,67,16,182
676,66,32,51,17,166
677,51,32,51,17,151
678,65,35,84,15,199
679,65,18,84,15,182
680,67,33,66,18,184
684,66,33,67,16,182
686,66,34,67,16,183
687,68,16,67,16,167
688,51,16,67,16,150
690,67,34,67,16,184
691,65,18,67,16,166
692,67,33,67,14,181
693,51,33,67,14,165
694,50,17,67,14,148
695,68,17,67,15,167
698,67,34,65,16,182
699,64,20,65,16,165
700,67,32,66,18,183
701,51,32,66,18,167
702,66,33,51,17,167
703,68,17,51,17,153
705,66,17,67,16,166
707,68,17,67,16,168
708,51,17,67,16,151
709,52,32,85,17,186
710,67,35,67,14,183
714,67,35,82,16,200
717,51,33,65,18,167
718,68,33,66,16,183
719,66,17,66,16,165
720,66,32,84,16,198
721,68,16,84,16,184
722,65,34,66,18,183
723,67,16,66,18,167
724,66,33,51,17,167
725,50,33,51,17,151
726,67,33,66,18,184
728,66,35,65,16,182
729,68,17,65,16,166
730,51,17,65,16,149
731,51,31,84,18,184
732,66,34,68,17,185
734,65,34,83,16,198
735,65,18,83,16,182
737,66,18,65,16,165
738,68,33,65,19,185
739,52,33,65,19,169
741,67,16,52,15,150
742,65,33,68,15,181
743,64,17,68,15,164
744,65,34,67,16,182
745,68,15,67,16,166
746,52,15,67,16,150
747,51,34,83,18,186
748,68,33,68,14,183
749,64,18,68,14,164
751,66,18,66,15,165
753,68,18,66,16,168
754,68,32,50,16,166
755,52,32,50,16,150
757,65,19,83,17,184
758,66,32,68,16,182
759,52,32,68,16,168
760,50,16,68,16,150
761,51,33,68,17,169
762,65,35,82,17,199
764,68,33,66,16,183
766,68,33,66,18,185
768,66,33,51,16,166
769,66,17,51,16,150
770,66,33,68,16,183
771,65,17,68,16,166
772,66,34,67,16,183
774,51,16,67,16,150
776,68,33,66,17,184
777,66,17,66,17,166
778,67,33,50,17,167
779,49,33,50,17,149
780,66,33,66,19,184
783,50,34,68,16,168
784,50,17,68,16,151
785,82,36,81,17,216
786,66,36,81,17,200
787,68,17,81,17,183
788,68,31,67,16,182
789,51,31,67,16,165
790,52,15,67,16,150
791,65,17,82,18,182
793,65,17,67,16,165
794,67,33,67,17,184
795,66,17,67,17,167
796,66,34,85,16,201
797,84,33,68,15,200
798,67,33,68,15,183
800,67,33,83,18,201
801,68,16,83,18,185
803,69,16,66,17,168
804,52,16,66,17,151
805,51,32,51,15,149
806,67,34,67,16,184
808,66,32,51,17,166
809,51,32,51,17,151
810,51,15,51,17,134
812,67,33,83,17,200
814,51,17,83,17,168
816,67,32,67,18,184
817,66,17,67,18,168
818,66,34,66,18,184
819,68,17,66,18,169
820,66,33,51,17,167
822,67,33,83,18,201
823,68,15,83,18,184
825,67,17,66,15,165
826,51,17,66,15,149
827,65,18,66,16,165
828,68,33,82,19,202
830,66,33,68,14,181
831,51,33,68,14,166
832,66,33,85,15,199
833,51,33,85,15,184
836,68,32,67,17,184
837,52,32,67,17,168
839,69,15,68,15,167
840,50,15,68,15,148
843,66,17,64,18,165
844,51,17,64,18,150
845,51,31,51,17,150
847,65,16,68,17,166
848,64,35,67,16,182
850,51,17,67,16,151
851,51,33,50,16,150
852,68,34,83,16,201
854,50,17,83,16,166
855,66,16,67,17,166
858,67,32,67,16,182
859,67,16,67,16,166
860,67,34,66,17,184
861,65,17,66,17,165
862,66,33,84,17,200
863,66,17,84,17,184
864,67,33,68,15,183
866,66,35,66,17,184
