序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,56,34,68,17,175
3,66,17,68,17,168
4,65,34,51,15,165
5,63,17,51,15,146
7,67,18,66,16,167
8,68,32,66,18,184
9,68,15,66,18,167
11,50,34,99,17,200
12,66,32,67,17,182
13,65,16,67,17,165
14,66,33,51,18,168
16,86,13,67,16,182
17,70,13,67,16,166
20,51,18,65,18,152
21,63,17,67,19,166
22,67,33,53,14,167
23,66,17,53,14,150
24,65,34,66,18,183
25,68,16,66,18,168
26,51,16,66,18,151
27,51,33,69,15,168
30,84,18,65,16,183
31,65,18,65,16,164
33,67,17,68,16,168
35,50,33,51,14,148
36,65,35,64,17,181
39,52,30,70,16,168
40,51,14,70,16,151
41,49,34,52,13,148
42,64,36,66,16,182
43,65,19,66,16,166
44,70,29,69,16,184
45,68,13,69,16,166
46,84,18,68,15,185
47,67,18,68,15,168
48,66,32,117,16,231
49,66,16,117,16,215
50,53,16,117,16,202
52,68,31,66,16,181
53,52,31,66,16,165
55,51,32,69,15,167
56,81,16,66,18,181
57,66,16,66,18,166
58,66,35,65,18,184
59,66,19,65,18,168
61,66,16,102,15,199
64,65,36,65,15,181
66,52,18,65,15,150
67,52,32,66,16,166
68,68,33,65,17,183
70,65,33,65,17,180
71,65,18,65,17,165
73,51,32,71,12,166
74,65,33,102,15,215
75,50,33,102,15,200
76,65,38,64,15,182
77,66,21,64,15,166
78,71,31,99,16,217
80,69,33,66,16,184
81,85,31,51,17,184
83,52,31,51,17,151
86,66,33,53,14,166
87,51,33,53,14,151
89,70,15,67,17,169
90,52,15,67,17,151
91,70,14,66,19,169
92,53,14,66,19,152
94,67,32,100,16,215
95,80,33,67,16,196
97,67,14,67,16,164
100,68,32,69,15,184
101,67,14,69,15,165
102,53,14,69,15,151
103,66,18,101,17,202
106,69,33,65,20,187
107,53,33,65,20,171
108,50,18,65,20,153
109,67,17,52,13,149
110,66,32,68,20,186
111,68,15,68,20,171
112,65,33,67,16,181
115,83,32,86,17,218
117,68,12,86,17,183
118,67,34,69,13,183
119,66,18,69,13,166
120,66,32,69,15,182
121,98,17,63,19,197
123,70,17,63,19,169
127,64,16,69,17,166
128,63,35,51,17,166
129,69,16,51,17,153
130,66,34,98,17,215
131,66,19,98,17,200
132,69,34,64,17,184
133,67,17,64,17,165
135,53,31,135,15,234
136,65,33,68,16,182
137,64,17,68,16,165
