序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,160,18,182,18,378
2,81,18,66,19,184
3,65,18,66,19,168
5,114,35,96,19,264
6,69,18,182,18,287
7,84,35,96,19,234
9,68,16,96,19,199
11,51,32,64,19,166
12,101,49,68,16,234
13,112,19,68,16,215
14,115,34,118,16,283
15,51,49,68,16,184
16,83,34,118,16,251
17,167,17,117,18,319
18,83,17,66,17,183
19,66,17,66,17,166
22,152,34,66,15,267
23,100,18,183,15,316
24,117,34,66,15,232
25,149,35,65,18,267
26,84,34,66,15,199
27,68,34,66,15,183
30,65,35,65,18,183
33,115,33,51,17,216
34,66,34,66,18,184
35,83,33,51,17,184
37,133,17,67,17,234
39,82,18,150,17,267
40,84,17,67,17,185
43,65,18,66,18,167
44,85,17,83,17,202
45,84,32,51,17,184
46,99,34,165,18,316
47,84,34,165,18,301
49,67,16,165,18,266
51,66,17,65,18,166
52,117,16,66,18,217
53,65,17,67,17,166
54,66,33,66,18,183
56,116,33,104,13,266
58,51,16,154,13,234
60,84,16,201,16,317
61,66,16,201,16,299
62,82,18,54,13,167
63,100,16,134,16,266
64,68,33,134,16,251
65,67,16,134,16,233
67,85,33,300,16,434
68,100,33,116,35,284
69,50,33,300,16,399
70,67,33,116,35,251
71,79,34,82,35,230
72,82,18,82,35,217
73,167,35,150,17,369
75,82,50,118,33,283
76,66,50,118,33,267
77,100,35,150,17,302
79,101,15,251,17,384
81,68,15,251,17,351
82,101,34,67,17,219
83,118,33,51,15,217
84,68,34,67,17,186
88,101,32,68,16,217
89,101,15,68,16,200
90,84,15,68,16,183
92,121,13,99,18,251
93,67,16,118,16,217
94,100,33,66,18,217
96,68,33,66,18,185
97,67,17,66,18,168
98,100,34,68,15,217
100,65,34,68,15,182
101,101,33,99,18,251
102,66,51,99,18,234
103,67,33,99,18,217
104,52,33,99,18,202
105,67,17,82,18,184
106,83,18,67,16,184
108,168,32,51,16,267
109,133,17,83,16,249
111,67,18,65,17,167
112,67,33,83,16,199
113,83,32,51,16,182
114,68,32,51,16,167
115,51,32,51,16,150
116,82,16,101,17,216
117,100,16,200,18,334
118,83,16,200,18,317
120,118,16,133,18,285
122,69,32,133,18,252
124,67,33,66,18,184
125,51,33,66,18,168
126,82,17,84,15,198
128,67,32,52,15,166
129,50,32,52,15,149
130,118,15,85,15,233
131,67,16,66,18,167
132,116,16,117,18,267
134,52,15,85,15,167
135,82,36,99,32,249
136,84,18,99,32,233
138,69,31,100,17,217
140,52,15,100,17,184
142,66,33,67,16,182
143,115,35,132,18,300
144,100,35,132,18,285
146,116,16,67,16,215
148,83,16,67,16,182
149,52,32,67,16,167
151,85,32,51,16,184
152,67,32,51,16,166
153,68,15,51,16,150
154,52,15,51,16,134
157,66,16,66,17,165
158,116,17,84,17,234
159,100,17,84,17,218
160,66,34,84,17,201
161,99,17,50,17,183
162,83,17,50,17,167
163,118,33,149,17,317
164,51,17,50,17,135
165,101,17,149,17,284
166,68,33,149,17,267
168,50,17,149,17,233
169,51,32,117,17,217
170,65,35,99,19,218
