序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,0,30,18,15,63
2,33,48,101,17,199
3,15,48,101,17,181
5,15,17,101,17,150
6,17,17,16,34,84
7,33,34,0,17,84
9,0,34,0,17,51
11,0,17,17,17,51
12,17,17,33,17,84
13,35,15,0,17,67
14,33,33,18,17,101
15,32,16,18,17,83
16,33,35,0,17,85
17,16,35,0,17,68
18,18,17,0,17,52
19,17,33,15,35,100
22,50,17,66,16,149
23,35,17,66,16,134
24,19,17,66,16,118
25,32,17,17,17,83
26,66,35,0,13,114
27,0,17,17,17,51
30,0,35,0,13,48
33,40,11,19,14,84
34,33,33,200,18,284
35,11,33,200,18,262
37,14,50,18,32,114
39,33,18,32,17,100
40,18,18,32,17,85
43,18,35,14,19,86
44,68,32,116,18,234
45,18,33,0,16,67
46,14,19,0,16,49
47,35,16,116,18,185
49,34,16,66,16,132
51,0,16,66,16,98
52,50,16,102,16,184
53,33,16,102,16,167
54,18,16,102,16,152
56,34,34,34,16,118
58,0,34,34,16,84
60,34,32,16,16,98
61,18,32,16,16,82
62,16,16,16,16,64
63,16,32,50,19,117
64,65,17,19,14,115
65,16,50,19,14,99
67,33,19,0,14,66
68,17,19,0,14,50
69,0,19,0,14,33
70,0,32,17,16,65
71,51,34,81,17,183
72,0,33,49,17,99
73,16,34,81,17,148
75,33,17,49,17,116
76,15,17,49,17,98
77,17,35,181,19,252
79,16,49,16,17,98
81,17,18,16,17,68
82,0,18,16,17,51
83,68,17,15,16,116
84,17,18,17,17,69
88,0,31,16,19,66
89,16,35,49,16,116
90,35,33,82,18,168
92,33,32,117,34,216
93,18,32,117,34,201
94,49,17,16,18,100
96,17,17,16,18,68
97,33,18,0,17,68
98,16,18,0,17,51
100,0,34,49,33,116
101,0,17,49,33,99
102,15,34,133,16,198
103,67,17,68,15,167
104,136,31,17,16,200
105,33,17,68,15,133
106,50,34,67,16,167
108,32,17,67,16,132
109,17,17,67,16,117
111,19,31,17,16,83
112,148,17,83,16,264
113,16,33,84,17,150
114,33,34,18,17,102
115,0,16,84,17,117
116,0,34,18,17,69
117,13,35,47,18,113
118,35,32,83,16,166
120,0,32,83,16,131
122,51,16,16,16,99
124,0,34,16,16,66
125,0,16,16,16,48
126,16,16,53,15,100
128,36,32,151,15,234
129,19,32,151,15,217
130,32,33,118,15,198
131,15,33,118,15,181
132,0,33,118,15,166
134,15,19,99,18,151
135,19,33,51,15,118
136,33,33,18,15,99
138,33,33,18,17,101
140,33,35,16,16,100
