序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,82,16,68,16,182
2,64,34,67,16,181
3,51,34,67,16,168
5,84,33,64,18,199
6,68,33,64,18,183
7,66,17,64,18,165
9,67,17,65,17,166
11,68,13,68,18,167
12,64,34,69,15,182
13,82,34,67,17,200
14,65,34,67,17,183
15,81,35,66,16,198
16,68,35,66,16,185
17,85,32,67,18,202
18,69,32,67,18,186
19,67,17,67,18,169
22,66,33,67,18,184
23,84,34,65,17,200
24,67,34,65,17,183
25,68,16,65,17,166
26,67,33,65,20,185
27,68,16,65,20,169
30,65,33,69,17,184
33,67,16,75,6,164
34,69,33,65,17,184
35,67,18,65,17,167
37,91,23,67,17,198
39,60,23,67,17,167
40,65,34,67,16,182
43,68,16,67,17,168
44,67,34,66,16,183
45,67,17,66,16,166
46,67,33,68,14,182
47,83,33,68,17,201
49,83,35,65,16,199
51,66,19,65,16,166
52,68,33,65,22,188
53,65,19,65,22,171
54,68,32,68,18,186
56,65,33,68,18,184
58,65,35,64,17,181
60,68,33,83,17,201
61,70,15,83,17,185
62,68,31,69,17,185
63,64,13,69,17,163
64,64,36,65,18,183
65,63,19,65,18,165
67,82,32,68,23,205
68,69,32,68,23,192
69,69,15,68,23,175
70,65,37,64,17,183
71,86,31,68,15,200
72,69,31,68,15,183
73,52,31,68,15,166
75,73,10,66,16,165
76,64,35,65,15,179
77,66,18,65,15,164
79,76,34,66,17,193
81,83,34,66,17,200
82,65,34,66,17,182
83,84,32,67,18,201
84,68,32,67,18,185
88,66,33,67,16,182
89,68,16,67,16,167
90,67,34,67,17,185
92,67,33,66,16,182
93,83,34,65,17,199
94,67,34,65,17,183
96,67,32,67,16,182
97,67,15,67,16,165
98,66,33,68,17,184
100,65,34,67,15,181
101,82,34,68,15,199
102,67,34,68,15,184
103,67,18,68,15,168
104,68,33,67,16,184
105,68,16,67,16,167
106,67,35,65,17,184
108,68,32,66,16,182
109,66,17,66,16,165
111,68,17,67,17,169
112,65,33,66,17,181
113,67,16,66,17,166
114,66,34,67,15,182
115,66,18,67,15,166
116,67,32,69,14,182
117,67,15,69,14,165
118,66,35,65,17,183
120,67,34,65,17,183
122,69,31,51,17,168
124,65,34,84,16,199
125,84,34,82,17,217
126,65,34,82,17,198
128,51,17,82,17,167
129,67,21,62,16,166
130,84,16,67,16,183
131,67,16,67,16,166
132,82,17,67,17,183
134,62,34,66,17,179
135,65,18,66,17,166
136,67,33,67,16,183
138,67,33,66,18,184
140,66,34,66,16,182
142,67,32,67,21,187
143,66,16,67,21,170
144,66,34,68,15,183
146,66,33,66,19,184
148,67,35,67,15,184
149,84,31,69,17,201
151,67,16,69,17,169
152,66,36,66,17,185
153,64,17,66,17,164
154,67,33,65,17,182
157,67,16,67,14,164
158,66,32,67,17,182
159,68,15,67,17,167
160,65,35,66,16,182
161,83,32,50,17,182
162,67,32,50,17,166
163,64,18,50,17,149
164,67,34,66,16,183
165,67,17,66,16,166
166,66,33,66,17,182
168,50,17,66,17,150
169,66,17,68,17,168
170,66,33,67,16,182
171,83,35,65,16,199
172,66,35,65,16,182
173,67,18,65,16,166
174,68,32,67,15,182
175,69,15,67,15,166
177,66,17,84,16,183
178,65,34,66,18,183
180,67,32,69,16,184
181,66,17,69,16,168
182,84,16,67,17,184
183,68,16,67,17,168
184,66,35,66,16,183
185,69,17,66,16,168
188,67,34,65,17,183
189,66,17,65,17,165
192,68,31,69,15,183
193,68,14,69,15,166
195,66,18,67,15,166
196,66,34,66,17,183
197,66,17,66,17,166
198,69,33,65,16,183
199,67,18,65,16,166
200,67,33,84,15,199
203,68,15,67,18,168
204,65,34,66,17,182
205,66,18,66,17,167
206,84,15,67,15,181
207,67,15,67,15,164
208,67,33,67,16,183
209,69,15,67,16,167
210,66,34,67,18,185
212,67,33,52,15,167
213,64,18,52,15,149
215,66,18,66,17,167
216,67,33,70,14,184
217,70,15,70,14,169
218,52,15,70,14,151
220,66,37,81,17,201
221,65,20,81,17,183
225,67,16,68,16,167
226,81,17,66,17,181
228,82,18,66,17,183
229,66,18,66,17,167
230,68,33,66,18,185
231,66,17,66,18,167
232,66,33,66,17,182
233,68,16,66,17,167
234,66,33,67,15,181
236,66,33,67,17,183
237,82,34,67,16,199
238,66,34,67,16,183
239,66,17,67,16,166
240,67,33,67,17,184
242,67,34,82,18,201
243,84,33,67,17,201
245,68,17,67,17,169
246,67,32,69,16,184
248,82,18,66,16,182
249,66,18,66,16,166
250,67,34,65,17,183
252,69,32,67,16,184
253,68,16,67,16,167
258,67,33,67,17,184
259,67,17,67,17,168
260,67,33,68,18,186
261,68,15,68,18,169
262,66,34,52,15,167
265,83,33,65,18,199
266,68,33,65,18,184
267,69,15,65,18,167
268,52,15,65,18,150
269,65,17,67,18,167
270,82,16,68,16,182
271,80,34,67,16,197
272,65,34,67,16,182
274,67,34,68,15,184
275,68,16,68,15,167
276,68,33,67,17,185
277,66,17,67,17,167
279,84,32,67,15,198
281,67,17,67,15,166
283,68,16,66,17,167
284,82,17,66,17,182
287,65,17,67,19,168
288,66,34,67,17,184
289,83,33,67,17,200
290,66,33,67,17,183
292,67,34,66,18,185
293,69,15,66,18,168
294,67,33,68,15,183
297,81,35,82,17,215
298,66,35,82,17,200
299,84,33,66,17,200
300,68,33,66,17,184
301,66,18,66,17,167
302,68,32,68,16,184
304,82,17,67,15,181
307,68,17,65,16,166
309,67,17,65,18,167
311,65,17,67,17,166
312,65,33,68,16,182
313,82,34,66,20,202
314,65,34,66,20,185
315,68,16,66,20,170
316,67,34,66,18,185
317,68,17,66,18,169
318,68,32,67,17,184
319,66,16,67,17,166
321,83,33,84,18,218
322,66,33,84,18,201
324,67,34,85,15,201
325,64,17,85,15,181
327,66,16,67,18,167
329,67,18,66,17,168
330,85,15,67,18,185
332,67,34,65,18,184
334,66,33,68,15,182
335,82,32,69,15,198
336,67,32,69,15,183
337,67,14,69,15,165
338,65,36,65,17,183
339,66,18,65,17,166
341,65,18,65,17,165
342,69,32,67,17,185
343,66,17,67,17,167
345,67,16,66,17,166
346,65,34,66,17,182
347,67,17,66,17,167
348,67,32,67,17,183
350,66,34,68,16,184
351,66,17,68,16,167
353,82,35,65,17,199
354,67,35,65,17,184
355,67,18,65,17,167
356,68,33,67,16,184
357,67,17,67,16,167
360,65,35,65,16,181
361,66,18,65,16,165
362,67,33,83,16,199
365,69,14,67,17,167
367,83,33,68,16,200
369,81,35,66,16,198
370,67,35,66,16,184
371,68,18,66,16,168
373,67,17,67,15,166
375,84,34,67,14,199
377,66,18,67,14,165
378,67,33,66,16,182
379,66,18,66,16,166
380,67,34,64,19,184
381,69,16,64,19,168
384,66,32,69,15,182
386,64,34,66,17,181
389,85,31,67,18,201
390,69,31,67,18,185
391,65,16,67,18,166
392,66,35,67,15,183
393,64,18,67,15,164
394,81,17,68,17,183
395,66,17,68,17,168
396,67,35,65,17,184
397,68,17,65,17,167
399,67,18,68,14,167
400,68,32,69,14,183
401,82,36,82,17,217
402,65,36,82,17,200
403,67,19,82,17,185
404,68,33,66,16,183
406,69,33,66,17,185
407,66,19,66,17,168
408,82,17,65,17,181
409,68,17,65,17,167
410,66,33,67,16,182
413,67,15,67,17,166
414,65,35,66,17,183
415,66,18,66,17,167
416,67,32,68,15,182
417,66,16,68,15,165
419,84,34,65,17,200
420,66,34,65,17,182
421,67,17,65,17,166
424,67,32,68,16,183
425,65,17,68,16,166
426,65,33,68,16,182
427,67,16,68,16,167
428,65,35,67,17,184
429,67,18,67,17,169
430,68,33,66,17,184
431,84,34,65,18,201
432,68,34,65,18,185
434,67,32,68,16,183
435,68,15,68,16,167
436,66,33,68,16,183
437,67,16,68,16,167
438,65,35,66,16,182
439,66,17,66,16,165
440,68,33,66,17,184
442,68,33,66,21,188
443,66,17,66,21,170
444,66,33,67,17,183
445,83,33,66,18,200
447,67,16,66,18,167
448,66,34,66,16,182
449,71,13,66,16,166
450,67,32,68,17,184
451,67,15,68,17,167
452,66,34,68,15,183
453,79,34,67,16,196
454,66,34,67,16,183
458,68,33,68,15,184
459,67,18,68,15,168
460,67,32,68,16,183
461,66,16,68,16,166
463,67,19,81,17,184
464,68,32,82,17,199
465,67,17,82,17,183
466,68,34,65,19,186
467,67,18,65,19,169
468,81,17,67,16,181
469,66,17,67,16,166
472,65,34,68,16,183
473,69,15,68,16,168
474,67,34,65,17,183
475,67,18,65,17,167
476,68,34,65,17,184
478,68,31,51,16,166
481,65,17,68,16,166
483,66,16,66,17,165
485,68,17,66,17,168
486,68,31,67,17,183
487,67,15,67,17,166
488,66,35,68,15,184
489,65,18,68,15,166
490,66,32,67,16,181
491,67,15,67,16,165
492,67,36,65,17,185
493,67,19,65,17,168
494,68,31,68,17,184
495,66,16,68,17,167
496,67,34,66,19,186
498,65,34,65,18,182
499,67,17,65,18,167
500,68,32,68,15,183
501,69,15,68,15,167
502,66,33,67,18,184
503,68,14,67,18,167
504,65,35,66,16,182
505,83,32,68,15,198
507,81,34,66,18,199
508,67,34,66,18,185
509,67,16,66,18,167
511,67,18,66,16,167
514,66,34,66,16,182
515,68,16,66,16,166
517,67,18,83,17,185
518,68,32,68,15,183
524,68,34,66,17,185
525,52,34,66,17,169
526,68,30,69,17,184
527,66,15,69,17,167
529,85,33,66,16,200
