序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,8,16,18,16,46
3,16,34,15,19,47
4,0,34,15,19,47
5,31,19,15,18,47
7,34,18,17,18,47
8,15,18,17,18,48
9,18,35,15,18,48
11,18,33,16,14,48
12,15,18,16,14,49
13,82,34,19,15,49
14,64,34,19,15,49
16,118,21,45,18,49
17,99,21,45,18,49
20,50,21,45,18,49
21,31,21,45,18,49
22,16,21,45,18,49
23,21,30,33,17,50
24,45,18,17,15,50
25,34,18,17,15,50
26,33,32,19,14,50
27,18,32,19,14,50
30,19,14,37,15,50
31,14,37,15,18,50
33,19,33,267,13,51
35,0,18,267,13,51
36,16,14,237,13,51
39,32,15,170,13,52
40,18,15,170,13,52
41,15,34,136,13,52
42,34,34,102,13,52
43,15,34,102,13,53
44,34,34,68,13,53
45,17,34,68,13,53
46,18,16,68,13,54
47,16,31,37,13,57
48,48,20,13,17,58
49,34,20,13,17,60
50,17,20,13,17,61
52,0,30,18,15,62
53,0,17,18,15,62
55,33,19,15,16,62
56,18,19,15,16,62
57,19,31,34,14,63
58,0,31,34,14,63
59,31,19,14,18,63
61,19,32,19,15,63
64,0,34,32,17,63
66,32,35,17,16,63
67,31,18,17,16,63
68,17,18,17,16,63
70,33,35,114,19,63
71,32,19,114,19,63
73,19,31,83,19,63
74,31,34,49,19,63
75,15,34,49,19,63
76,0,34,49,19,64
77,34,15,15,19,64
78,19,15,15,19,64
80,0,34,17,16,64
81,19,33,16,16,64
83,16,32,185,17,64
86,19,14,152,17,64
87,14,34,118,17,64
89,15,32,86,17,64
90,100,35,83,15,64
91,83,35,83,15,64
92,68,35,83,15,64
94,34,35,83,15,64
95,16,35,83,15,64
97,17,30,53,15,64
100,19,15,34,16,64
101,15,34,16,19,64
102,19,15,16,19,64
103,15,35,316,15,64
106,15,16,285,15,64
107,16,33,252,15,64
108,33,36,216,15,64
109,33,18,216,15,64
110,36,31,185,15,64
111,151,34,49,15,64
112,133,34,49,15,64
115,86,34,49,15,64
117,49,34,49,15,64
118,34,34,49,15,64
119,83,31,17,18,64
120,83,15,17,18,64
121,83,35,34,15,64
123,49,35,34,15,64
127,18,34,50,18,64
128,15,19,50,18,64
129,19,31,19,18,64
130,50,18,13,18,65
131,35,18,13,18,65
132,19,18,13,18,65
133,83,33,15,19,65
135,85,34,16,15,65
136,67,34,16,15,65
137,52,34,16,15,65
138,83,15,102,5,65
140,50,15,102,5,65
141,35,15,102,5,65
142,16,15,102,5,65
143,33,84,5,29,65
144,18,84,5,29,65
146,34,31,19,16,65
151,169,31,36,14,65
152,150,31,36,14,65
153,134,31,36,14,65
154,119,31,36,14,65
156,84,31,36,14,65
157,87,14,36,14,65
158,68,14,36,14,65
159,114,17,16,16,65
161,81,17,16,16,65
162,64,17,16,16,65
163,50,17,16,16,65
164,31,17,16,16,65
165,14,17,16,16,65
166,0,17,16,16,65
167,0,32,36,18,65
169,36,33,82,19,65
170,19,33,82,19,65
171,33,31,51,19,65
172,15,31,51,19,65
173,17,14,51,19,65
175,18,16,36,14,65
176,16,36,14,17,65
177,0,36,14,17,65
181,85,17,17,19,65
182,68,17,17,19,65
183,52,17,17,19,65
185,19,17,17,19,65
186,17,36,231,15,65
189,45,18,168,15,65
190,33,18,168,15,65
191,15,18,168,15,65
192,102,14,70,15,65
193,84,14,70,15,65
194,68,14,70,15,65
196,35,14,70,15,65
198,14,34,36,15,65
199,0,34,36,15,65
201,17,19,15,18,65
203,15,18,16,18,65
204,0,18,16,18,65
205,34,31,19,14,65
206,18,31,19,14,65
207,16,15,19,14,65
208,15,33,16,18,65
209,83,16,22,31,65
210,80,22,12,19,65
211,66,22,12,19,65
212,151,34,200,15,65
214,117,34,200,15,65
216,79,34,200,15,65
220,32,18,200,15,65
221,34,34,166,15,65
223,34,34,132,15,65
224,18,34,132,15,65
225,0,34,132,15,65
226,18,33,99,15,65
228,19,33,66,15,65
229,15,18,66,15,65
231,115,17,16,19,65
232,100,17,16,19,65
234,64,17,16,19,65
235,49,17,16,19,65
237,17,17,16,19,65
239,16,19,32,16,65
241,32,32,15,20,66
242,16,32,15,20,66
243,16,16,15,20,66
245,15,20,50,16,66
246,20,31,19,16,66
247,16,15,19,16,66
249,19,16,84,18,66
251,16,19,134,17,66
254,65,20,34,17,66
255,47,20,34,17,66
256,31,20,34,17,66
257,13,20,34,17,66
258,20,34,48,18,66
260,36,12,19,18,66
263,19,18,14,19,66
264,18,33,16,15,66
265,0,33,16,15,66
267,0,31,18,18,66
269,36,34,13,17,66
270,52,30,21,30,66
271,34,30,21,30,66
272,21,30,21,30,66
274,38,46,19,15,66
277,18,16,19,15,66
278,69,16,15,16,66
280,34,16,15,16,66
281,19,16,15,16,66
282,31,16,16,18,66
283,15,16,16,18,66
284,16,34,17,18,66
285,16,18,17,18,66
289,32,32,19,15,66
290,16,32,19,15,66
293,34,34,15,18,66
294,82,32,17,18,66
295,67,32,17,18,66
296,50,32,17,18,66
297,33,32,17,18,66
298,18,32,17,18,66
299,19,13,17,18,66
301,17,18,34,16,66
302,18,34,33,15,66
303,18,16,33,15,66
306,82,34,33,16,66
309,32,34,33,16,66
310,83,36,82,17,66
311,67,36,82,17,66
312,50,36,82,17,66
313,33,36,82,17,66
314,14,36,82,17,66
315,16,20,82,17,66
318,17,31,18,17,66
319,200,34,932,16,66
320,184,34,932,16,66
321,169,34,932,16,66
322,151,34,932,16,66
324,116,34,932,16,66
325,120,17,932,16,66
326,102,17,932,16,66
327,86,17,932,16,66
328,67,17,932,16,66
329,53,17,932,16,66
331,83,17,866,16,66
333,49,17,866,16,66
334,81,33,802,16,66
335,64,33,802,16,66
337,82,17,767,16,66
339,85,16,734,16,66
343,17,16,734,16,66
344,81,37,680,18,66
345,65,37,680,18,66
346,49,37,680,18,66
347,33,37,680,18,66
348,35,18,680,18,66
350,18,33,647,18,66
351,81,19,580,18,66
354,32,19,580,18,66
355,18,19,580,18,66
358,18,33,515,18,66
360,16,33,482,18,66
362,30,19,448,18,66
365,16,16,416,18,66
366,0,16,416,18,66
367,33,35,348,18,66
369,0,35,348,18,66
372,18,32,281,18,66
373,32,32,249,18,66
374,18,32,249,18,66
375,65,36,180,18,66
376,49,36,180,18,67
377,33,36,180,18,67
378,15,36,180,18,67
381,13,20,147,18,67
382,20,31,116,18,67
385,0,34,82,18,67
386,84,31,52,13,67
390,32,18,52,13,67
393,0,33,19,13,67
394,15,32,33,22,67
397,33,22,12,18,67
398,38,47,32,19,67
401,18,17,32,19,67
402,34,15,19,16,67
403,17,15,19,16,67
404,15,35,16,15,67
405,101,36,48,17,67
406,82,36,48,17,67
407,66,36,48,17,67
409,35,36,48,17,67
410,18,36,48,17,67
412,20,30,18,17,67
413,15,15,18,17,67
415,18,17,17,16,67
416,81,35,52,15,67
417,64,35,52,15,67
418,98,17,19,15,67
419,82,17,19,15,67
420,66,17,19,15,67
421,51,17,19,15,67
422,31,17,19,15,67
424,17,34,31,19,67
425,19,15,31,19,67
427,16,15,34,17,67
429,19,15,134,19,67
430,15,36,98,19,67
431,17,19,98,19,67
433,15,18,65,19,67
434,34,15,34,19,67
435,31,34,35,15,67
437,84,16,20,15,67
438,68,16,20,15,67
439,50,16,20,15,67
442,16,35,15,16,67
444,30,16,18,18,67
445,83,16,118,15,67
446,68,16,118,15,67
447,52,16,118,15,67
448,119,30,19,15,67
450,85,30,19,15,67
451,69,30,19,15,67
453,35,30,19,15,67
456,36,15,36,13,67
457,19,15,36,13,67
460,19,29,37,15,67
461,13,16,37,15,67
462,53,31,17,16,67
463,37,31,17,16,67
464,19,31,17,16,67
467,17,16,18,18,67
468,16,36,49,16,67
469,0,36,49,16,67
470,18,31,18,16,67
471,49,16,35,15,67
472,33,16,35,15,67
473,18,16,35,15,67
474,16,35,31,20,67
475,35,31,33,18,67
476,19,31,33,18,67
477,15,16,33,18,67
478,16,33,33,20,67
479,86,15,17,18,67
480,66,15,17,18,67
482,35,15,17,18,67
483,20,15,17,18,67
484,81,33,21,34,67
485,84,15,21,34,67
486,67,15,21,34,67
488,34,15,21,34,67
490,15,21,14,20,67
492,147,32,152,16,67
493,133,32,152,16,67
494,113,32,152,16,67
495,98,32,152,16,67
497,65,32,152,16,67
499,35,32,152,16,67
500,16,32,152,16,67
502,69,15,84,16,67
503,53,15,84,16,67
504,36,15,84,16,67
506,82,33,15,20,67
508,51,33,15,20,67
509,32,33,15,20,67
511,17,16,15,20,67
514,35,18,48,19,67
515,15,18,48,19,67
516,34,16,16,19,67
517,16,16,16,19,67
518,16,35,31,18,67
519,35,31,18,16,67
523,34,35,31,17,67
524,16,35,31,17,67
525,19,16,31,17,67
526,16,31,17,19,67
527,15,16,17,19,67
528,16,36,16,17,67
529,0,36,16,17,67
531,16,17,32,15,67
532,17,32,15,17,67
533,16,16,15,17,67
534,16,32,18,15,67
536,0,17,18,15,67
538,15,35,16,18,67
539,20,15,16,18,67
541,16,18,16,17,67
542,34,17,83,17,67
544,17,32,51,17,67
545,16,16,51,17,67
546,16,37,179,17,67
548,17,31,148,17,67
552,17,34,80,17,67
553,17,17,80,17,68
554,17,30,50,17,68
555,116,17,115,16,68
556,101,17,115,16,68
558,69,17,115,16,68
559,50,17,115,16,68
560,168,16,18,17,68
563,115,16,18,17,68
565,83,16,18,17,68
566,66,16,18,17,68
567,51,16,18,17,68
568,34,16,18,17,68
569,18,16,18,17,68
570,16,35,34,17,68
571,35,34,34,18,68
574,17,34,18,30,68
575,52,45,20,16,68
576,35,45,20,16,68
577,18,45,20,16,68
578,0,45,20,16,68
579,17,15,20,16,68
581,20,16,16,18,68
582,32,18,16,15,68
583,16,18,16,15,68
584,34,15,86,11,68
587,16,18,85,13,68
588,18,19,66,13,68
589,0,19,66,13,68
590,129,19,33,16,68
591,117,19,33,16,68
594,63,19,33,16,68
