序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,0,44,46,17,107
2,0,29,17,17,63
3,0,14,17,17,48
5,17,33,17,15,82
6,0,33,17,15,65
7,84,33,18,14,149
9,0,15,17,17,49
11,217,34,15,16,282
12,0,33,18,14,65
13,0,16,18,14,48
14,0,32,18,18,68
15,14,36,14,17,81
16,0,36,14,17,67
17,18,31,18,15,82
18,267,32,50,23,372
19,17,33,18,17,85
22,18,17,17,17,69
23,17,34,15,16,82
24,17,17,15,16,65
25,17,31,17,20,85
26,0,31,17,20,68
27,0,16,17,20,53
30,28,38,16,16,98
33,16,32,50,23,121
34,401,32,50,18,501
35,16,35,15,23,89
37,0,17,15,23,55
39,401,18,15,20,454
40,212,17,17,14,260
43,0,17,48,17,82
44,0,33,15,17,65
45,17,32,16,17,82
46,15,17,16,17,65
47,0,17,16,17,50
49,0,17,17,17,51
51,0,17,17,17,51
52,0,34,17,14,65
53,0,17,17,14,48
54,287,45,18,15,365
56,0,36,16,16,68
58,581,17,17,17,632
60,0,35,15,18,68
61,313,34,16,17,380
62,0,33,15,20,68
63,0,18,15,20,53
64,0,35,13,17,65
65,20,30,16,19,85
67,302,15,17,15,349
68,0,35,20,16,71
69,0,19,20,16,55
70,0,20,63,15,98
71,0,45,18,15,78
72,0,29,18,15,62
73,14,33,16,20,83
75,0,15,16,20,51
76,0,36,16,15,67
77,0,20,16,15,51
79,15,34,16,17,82
81,17,33,18,15,83
82,0,33,18,15,66
83,17,33,17,15,82
84,0,33,17,15,65
88,0,37,17,15,69
89,0,18,17,15,50
90,0,32,15,17,64
92,0,32,17,17,66
93,0,17,17,17,51
94,0,34,17,16,67
96,0,33,0,18,51
97,0,16,0,18,34
98,0,34,66,18,118
100,0,43,23,18,84
101,0,26,23,18,67
102,23,32,19,17,91
103,17,32,19,17,85
104,0,32,19,17,68
105,0,14,19,17,50
106,19,17,16,17,69
108,0,33,16,16,65
109,17,32,84,15,148
111,0,16,84,15,115
112,0,33,17,17,67
113,0,14,17,17,48
114,0,34,17,15,66
115,17,32,20,14,83
116,84,16,19,15,134
117,0,15,20,14,49
118,0,34,86,15,135
120,0,34,19,15,68
122,83,17,19,15,134
124,266,33,19,14,332
125,15,33,19,15,82
126,0,33,19,15,67
128,100,34,0,17,151
129,0,15,17,17,49
130,0,34,16,16,66
131,17,32,18,16,83
132,0,32,18,16,66
134,0,34,0,17,51
135,16,33,17,16,82
136,0,33,17,16,66
138,0,33,17,16,66
140,0,33,19,14,66
142,0,33,18,18,69
143,14,36,15,17,82
144,0,36,15,17,68
146,0,32,18,16,66
148,0,34,15,18,67
149,0,16,15,18,49
151,0,18,15,16,49
152,0,31,18,18,67
153,0,16,18,18,52
154,0,36,50,16,102
157,19,33,18,15,85
158,0,33,18,15,66
159,82,33,18,15,148
160,0,33,17,16,66
161,15,33,51,15,114
162,0,33,51,15,99
163,16,33,18,15,82
164,0,33,18,15,66
165,16,33,19,14,82
166,0,33,19,14,66
168,0,33,19,16,68
169,14,35,17,16,82
170,0,35,17,16,68
171,82,33,18,15,148
172,99,33,50,18,200
173,16,33,18,15,82
174,0,33,18,15,66
175,15,33,18,15,81
177,15,33,50,18,116
178,101,32,21,12,166
180,0,35,15,18,68
181,17,33,16,16,82
182,134,32,18,15,199
183,134,17,18,15,184
184,16,16,21,12,65
185,16,33,19,17,85
188,269,32,17,15,333
189,17,32,18,15,82
192,18,15,18,17,68
193,15,35,14,19,83
195,17,33,82,18,150
196,0,33,82,18,133
197,19,34,15,16,84
198,15,19,15,16,65
199,19,31,17,18,85
200,200,30,52,16,298
203,182,36,16,16,250
204,0,32,17,15,64
205,17,32,17,19,85
206,0,32,17,19,68
207,0,15,17,19,51
208,0,36,16,18,70
209,0,19,16,18,53
210,0,34,16,14,64
212,0,30,52,16,98
213,165,16,18,18,217
215,0,19,16,16,51
216,16,16,19,15,66
217,16,34,16,18,84
218,0,34,16,18,68
220,0,34,15,16,65
221,18,31,18,18,85
225,0,18,14,18,50
226,0,32,15,18,65
228,0,33,17,18,68
229,118,33,17,43,211
230,0,35,50,15,100
231,18,32,18,15,83
232,0,32,18,15,65
233,16,33,17,16,82
