序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,101,26,68,15,210
3,92,26,68,15,201
4,150,18,132,17,317
5,60,26,68,15,169
7,66,18,132,17,233
8,50,18,132,17,217
9,65,18,99,17,199
11,72,13,65,17,167
12,67,32,101,15,215
13,52,32,101,15,200
14,50,16,101,15,182
16,65,34,68,15,182
17,66,17,68,15,166
20,68,34,67,16,185
21,51,34,67,16,168
22,68,33,67,15,183
23,83,34,65,16,198
24,67,34,65,16,182
25,52,34,65,16,167
26,67,33,65,18,183
27,85,32,67,18,202
30,65,33,100,20,218
31,65,17,100,20,202
33,68,16,66,20,170
35,69,16,65,17,167
36,52,16,65,17,150
39,68,13,134,17,232
40,52,13,134,17,216
41,65,17,66,17,165
42,67,35,65,17,184
43,64,18,65,17,164
44,85,15,100,17,217
45,52,31,100,17,200
46,83,17,66,17,183
47,66,17,66,17,166
48,82,17,66,16,181
49,66,17,66,16,165
50,51,17,66,16,150
52,66,34,101,15,216
53,66,17,101,15,199
55,85,33,64,18,200
56,69,33,64,18,184
57,68,17,64,18,167
58,51,17,64,18,150
59,52,33,66,17,168
61,65,16,52,15,148
64,66,32,66,19,183
66,52,15,66,19,152
67,68,18,64,17,167
68,69,29,52,16,166
70,66,35,68,16,185
71,66,16,68,16,166
73,67,16,51,16,150
74,103,32,68,16,219
75,66,18,66,16,166
76,68,32,68,16,184
77,67,16,68,16,167
78,83,18,50,16,167
80,66,34,66,15,181
81,84,32,67,16,199
83,52,32,67,16,167
86,66,33,52,16,167
87,65,18,52,16,151
89,83,34,65,16,198
90,85,16,65,16,182
91,52,34,65,16,167
92,52,16,65,16,149
94,66,33,67,18,184
95,64,17,67,18,166
97,65,17,52,15,149
100,67,33,66,17,183
101,69,15,66,17,167
102,52,15,66,17,150
103,51,33,101,16,201
106,66,34,67,16,183
107,66,17,67,16,166
108,67,34,66,16,183
109,51,34,66,16,167
110,68,33,133,18,252
111,67,17,133,18,235
112,67,33,66,17,183
115,66,17,67,18,168
117,68,15,102,16,201
118,66,34,68,16,184
119,67,17,68,16,168
120,50,17,68,16,151
121,67,17,100,17,201
123,52,33,67,17,169
127,84,33,100,17,234
128,67,33,100,17,217
129,51,33,100,17,201
130,53,16,100,17,186
131,84,33,52,16,185
132,65,33,52,16,166
133,64,17,52,16,149
135,64,19,132,16,231
136,68,33,133,16,250
137,52,33,133,16,234
138,52,16,133,16,217
140,66,32,101,16,215
141,66,15,101,16,198
142,65,34,67,16,182
143,66,16,67,16,165
144,66,34,67,16,183
146,68,33,100,18,219
151,67,16,52,15,150
152,66,34,66,17,183
153,50,34,66,17,167
154,50,16,66,17,149
156,52,15,66,18,151
157,66,16,134,16,232
158,50,16,134,16,216
159,65,16,52,17,150
161,84,34,66,17,201
162,68,34,66,17,185
163,51,34,66,17,168
164,52,17,66,17,152
165,51,32,67,17,167
166,66,34,66,18,184
167,65,18,66,18,167
169,67,16,67,16,166
170,51,16,67,16,150
171,68,16,50,17,151
172,84,16,83,15,198
173,67,16,83,15,181
175,100,16,67,16,199
176,50,17,65,19,151
177,82,32,101,18,233
181,83,32,52,16,183
182,67,32,52,16,167
183,66,16,52,16,150
185,67,15,100,18,200
186,51,15,100,18,184
189,83,32,99,19,233
190,68,32,99,19,218
191,82,33,66,19,200
192,84,15,66,19,184
193,83,35,83,16,217
194,65,35,83,16,199
196,68,31,52,16,167
198,85,15,134,17,251
199,69,15,134,17,235
201,68,16,67,17,168
203,66,16,67,17,166
204,51,16,67,17,151
205,116,33,67,17,233
206,84,16,50,18,168
207,67,16,50,18,151
208,67,33,67,17,184
209,66,16,67,17,166
210,50,16,67,17,150
211,66,18,66,15,165
212,84,16,99,18,217
214,67,34,65,18,184
216,66,33,67,17,183
220,83,17,100,17,217
221,68,17,100,17,202
223,68,16,67,17,168
224,52,16,67,17,152
225,66,17,100,16,199
226,66,34,99,19,218
228,67,33,66,19,185
229,51,33,66,19,169
231,51,33,52,14,150
232,82,17,67,17,183
234,85,14,100,18,217
235,69,14,100,18,201
237,67,17,66,18,168
239,65,15,52,15,147
241,83,33,102,16,234
242,66,33,102,16,217
243,67,15,102,16,200
245,69,16,67,16,168
246,52,16,67,16,151
247,66,16,117,17,216
249,65,18,82,17,182
251,51,32,67,15,165
254,99,34,67,16,216
255,83,34,67,16,200
256,67,34,67,16,184
257,66,19,67,16,168
258,67,33,50,16,166
260,67,34,69,11,181
263,51,32,100,17,200
264,50,16,100,17,183
265,88,31,65,18,202
267,53,31,65,18,167
269,52,32,100,16,200
270,96,33,67,17,213
271,85,33,67,17,202
272,65,33,67,17,182
274,85,15,67,16,183
277,82,34,99,17,232
278,84,17,99,17,217
280,67,35,64,17,183
281,51,35,64,17,167
282,69,31,67,17,184
283,52,31,67,17,167
284,51,15,67,17,150
285,66,17,119,17,219
289,68,16,103,14,201
290,86,16,68,14,184
293,51,34,65,18,168
294,83,20,62,18,183
295,64,20,62,18,164
296,82,17,135,17,251
297,65,17,135,17,234
298,65,31,54,17,167
299,82,36,100,15,233
301,66,18,100,15,199
302,67,35,65,15,182
303,67,17,65,15,164
306,85,15,100,18,218
309,64,17,68,18,167
310,64,34,99,18,215
311,64,17,99,18,198
312,66,34,65,18,183
313,103,17,64,18,202
314,68,35,64,18,185
315,51,35,64,18,168
318,65,34,67,16,182
319,65,16,67,16,164
320,64,34,69,15,182
321,68,16,69,15,168
322,52,16,69,15,152
324,83,20,65,16,184
325,65,20,65,16,166
326,69,33,97,17,216
327,52,33,97,17,199
328,51,18,97,17,183
329,85,32,68,17,202
331,66,16,68,17,167
333,68,15,52,16,151
334,50,15,52,16,133
