序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,15,17,16,22,70
3,0,17,16,22,55
4,0,38,12,19,69
5,22,31,18,13,84
7,19,31,20,14,84
8,18,13,20,14,65
9,13,34,15,20,82
11,14,35,15,17,81
12,0,35,15,17,67
13,20,32,18,17,87
14,0,32,18,17,67
16,18,17,14,16,65
17,17,30,18,18,83
20,18,18,18,13,67
21,18,31,18,16,83
22,18,13,18,16,65
23,13,34,17,18,82
24,0,34,17,18,69
25,16,35,15,17,83
26,17,18,15,17,67
27,18,32,15,18,83
30,15,18,17,17,67
31,0,18,17,17,52
33,17,34,18,14,83
35,17,32,17,17,83
36,0,32,17,17,66
39,17,32,17,18,84
40,0,32,17,18,67
41,14,35,17,17,83
42,0,35,17,17,69
43,18,34,15,18,85
44,0,34,15,18,67
45,17,33,18,16,84
46,15,18,18,16,67
47,18,34,14,18,84
48,18,16,14,18,66
49,16,32,18,14,80
50,0,32,18,14,64
52,18,14,17,17,66
53,14,34,18,15,81
55,17,33,24,6,80
56,18,15,24,6,63
57,15,30,30,31,106
58,24,6,30,31,91
59,6,30,14,17,67
61,14,30,21,16,81
64,21,16,15,15,67
66,15,15,19,14,63
67,15,33,20,16,84
68,19,14,20,16,69
70,20,16,14,19,69
71,16,33,15,20,84
73,19,35,16,16,86
74,15,20,16,16,67
75,20,32,17,16,85
76,0,32,17,16,65
77,16,33,16,15,80
78,0,33,16,15,64
80,16,15,18,15,64
81,15,33,20,14,82
83,15,34,17,17,83
86,17,17,17,17,68
87,17,34,14,17,82
89,17,31,18,18,84
90,0,31,18,18,67
91,17,36,14,17,84
92,0,36,14,17,67
94,14,17,18,15,64
95,17,33,18,16,84
97,15,34,18,17,84
100,0,35,15,16,66
101,17,31,17,17,82
102,15,16,17,17,65
103,16,34,18,17,85
106,0,35,15,16,66
107,17,31,17,20,85
108,0,31,17,20,68
109,16,37,12,20,85
110,17,20,12,20,69
111,20,32,17,14,83
112,0,32,17,14,63
115,14,34,17,17,82
117,17,34,17,18,86
118,17,17,17,18,69
119,17,35,13,17,82
120,0,35,13,17,65
121,18,30,17,18,83
123,17,35,17,16,85
127,16,34,17,17,84
128,18,16,17,17,68
129,16,34,16,14,80
130,17,17,16,14,64
131,17,30,21,14,82
132,0,30,21,14,65
133,14,35,16,20,85
135,14,36,14,19,83
136,16,20,14,19,69
137,20,33,17,16,86
138,0,33,17,16,66
140,17,16,15,18,66
141,16,33,14,17,80
142,15,18,14,17,64
143,18,31,18,20,87
144,14,17,18,20,69
146,18,20,14,18,70
151,19,33,16,15,83
152,0,33,16,15,64
153,18,31,19,16,84
154,16,15,19,16,66
156,19,16,16,18,69
157,16,34,14,17,81
158,16,18,14,17,65
159,18,31,17,18,84
161,17,35,17,17,86
162,17,18,17,17,69
163,18,34,17,17,86
164,0,34,17,17,68
165,17,34,13,18,82
166,17,17,13,18,65
167,17,31,21,11,80
169,18,32,18,18,86
170,21,11,18,18,68
171,11,36,15,18,80
172,18,18,15,18,69
173,18,33,15,18,84
175,18,33,15,19,85
176,15,18,15,19,67
177,18,34,16,14,82
181,14,33,19,18,84
182,19,14,19,18,70
183,14,37,15,17,83
185,18,32,17,17,84
186,15,17,17,17,66
189,17,31,19,17,84
190,17,14,19,17,67
191,14,36,17,14,81
192,0,36,17,14,67
193,17,31,17,18,83
194,0,31,17,18,66
196,17,18,18,15,68
198,18,15,18,16,67
199,15,34,18,17,84
201,16,35,15,16,82
203,17,31,15,17,80
204,15,16,15,17,63
205,16,32,18,17,83
206,0,32,18,17,67
207,17,35,18,13,83
208,18,17,18,13,66
209,17,31,19,16,83
210,18,13,19,16,66
211,13,35,17,17,82
212,19,16,17,17,69
214,17,17,18,14,66
216,18,14,21,17,70
220,0,32,16,15,63
221,18,31,16,20,85
223,15,36,14,19,84
224,0,36,14,19,69
225,20,33,18,13,84
226,0,33,18,13,64
228,18,13,19,15,65
229,13,34,16,19,82
231,15,35,14,18,82
232,16,19,14,18,67
234,0,32,16,16,64
235,18,32,20,13,83
237,16,33,18,17,84
239,13,35,19,13,80
241,17,32,19,17,85
242,0,32,19,17,68
243,13,36,14,17,80
245,17,31,16,18,82
246,14,17,16,18,65
247,17,34,15,18,84
249,18,33,18,16,85
251,18,34,15,17,84
254,15,17,18,14,64
255,17,32,17,19,85
256,0,32,17,19,68
257,14,36,14,17,81
258,0,36,14,17,67
260,0,31,19,17,67
263,17,33,14,18,82
264,14,19,14,18,65
265,19,32,18,16,85
267,18,34,18,14,84
269,16,32,18,15,81
270,18,14,18,15,65
271,14,33,18,16,81
272,0,33,18,16,67
274,0,34,18,17,69
277,17,32,19,14,82
278,18,14,19,14,65
280,0,33,18,18,69
281,14,36,14,17,81
282,0,36,14,17,67
283,18,31,18,14,81
284,14,17,18,14,63
285,17,32,18,17,84
289,17,34,19,16,86
290,18,16,19,16,69
293,16,30,20,16,82
294,0,30,20,16,66
295,17,36,14,17,84
296,20,16,14,17,67
297,16,31,18,17,82
298,0,31,18,17,66
299,17,35,17,14,83
301,17,31,18,17,83
302,17,14,18,17,66
303,14,35,15,17,81
306,0,32,18,16,66
309,16,36,14,18,84
310,17,19,14,18,68
311,19,32,15,17,83
312,0,32,15,17,64
313,18,32,17,16,83
314,15,17,17,16,65
315,17,33,19,17,86
