序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,0,36,15,17,68
2,0,32,16,22,70
3,0,17,16,22,55
5,22,31,18,13,84
6,12,19,18,13,62
7,19,31,20,14,84
9,13,34,15,20,82
11,14,35,15,17,81
12,0,35,15,17,67
13,20,32,18,17,87
14,0,32,18,17,67
15,17,35,14,16,82
16,0,35,14,16,65
17,17,30,18,18,83
18,14,16,18,18,66
19,16,36,18,13,83
22,18,13,18,16,65
23,13,34,17,18,82
24,0,34,17,18,69
25,16,35,15,17,83
26,17,18,15,17,67
27,18,32,15,18,83
30,15,18,17,17,67
33,17,34,18,14,83
34,17,17,18,14,66
35,17,32,17,17,83
37,14,34,18,14,80
39,17,32,17,18,84
40,18,14,17,18,67
43,18,34,15,18,85
44,0,34,15,18,67
45,17,33,18,16,84
46,15,18,18,16,67
47,18,34,14,18,84
49,16,32,18,14,80
51,18,32,17,17,84
52,18,14,17,17,66
53,14,34,18,15,81
54,17,17,18,15,67
56,18,15,24,6,63
58,24,6,30,31,91
60,0,30,14,17,61
61,14,30,21,16,81
62,17,13,21,16,67
63,13,37,15,15,80
64,21,16,15,15,67
65,16,30,19,14,79
67,15,33,20,16,84
68,19,14,20,16,69
69,14,36,14,19,83
70,20,16,14,19,69
71,16,33,15,20,84
72,0,33,15,20,68
73,19,35,16,16,86
75,20,32,17,16,85
76,0,32,17,16,65
77,16,33,16,15,80
79,16,31,18,15,80
81,15,33,20,14,82
82,0,33,20,14,67
83,15,34,17,17,83
84,0,34,17,17,68
88,17,17,14,17,65
89,17,31,18,18,84
90,14,17,18,18,67
92,0,36,14,17,67
93,18,31,18,15,82
94,14,17,18,15,64
96,18,15,18,16,67
97,15,34,18,17,84
98,0,34,18,17,69
100,0,35,15,16,66
101,17,31,17,17,82
102,0,31,17,17,65
103,16,34,18,17,85
104,17,17,18,17,69
105,17,35,15,16,83
106,0,35,15,16,66
108,0,31,17,20,68
109,16,37,12,20,85
111,20,32,17,14,83
112,0,32,17,14,63
113,20,31,17,17,85
114,17,14,17,17,65
115,14,34,17,17,82
116,17,17,17,17,68
117,17,34,17,18,86
118,17,17,17,18,69
120,0,35,13,17,65
122,0,30,17,18,65
124,0,35,17,16,68
125,18,33,18,16,85
126,17,16,18,16,67
128,0,34,17,17,68
129,16,34,16,14,80
130,0,34,16,14,64
131,17,30,21,14,82
132,16,14,21,14,65
134,0,35,16,20,71
135,14,36,14,19,83
136,16,20,14,19,69
138,0,33,17,16,66
140,17,16,15,18,66
142,15,18,14,17,64
143,18,31,18,20,87
144,14,17,18,20,69
146,18,20,14,18,70
148,14,18,14,19,65
149,18,33,15,18,84
151,19,33,16,15,83
152,0,33,16,15,64
153,18,31,19,16,84
154,16,15,19,16,66
157,16,34,14,17,81
158,16,18,14,17,65
159,18,31,17,18,84
160,0,31,17,18,66
161,17,35,0,17,69
162,17,18,0,17,52
163,18,34,17,17,86
164,0,34,17,17,68
165,17,34,13,18,82
