序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,6,17,852,20,895
3,272,11,586,20,889
4,255,11,586,20,872
5,239,11,586,20,856
7,205,11,586,20,822
8,189,11,586,20,806
9,172,11,586,20,789
11,139,11,586,20,756
12,122,11,586,20,739
13,104,11,586,20,721
14,88,11,586,20,705
16,55,11,586,20,672
17,164,17,452,20,653
20,117,17,452,20,606
21,98,17,452,20,587
22,83,17,452,20,572
23,64,17,452,20,553
24,200,34,285,20,539
25,183,34,285,20,522
26,165,34,285,20,504
27,150,34,285,20,489
30,99,34,285,20,438
31,82,34,285,20,421
33,48,34,285,20,387
35,185,32,1377,16,1610
36,168,32,1377,16,1593
39,119,32,1377,16,1544
40,101,32,1377,16,1526
41,85,32,1377,16,1510
42,69,32,1377,16,1494
43,100,17,1342,16,1475
44,84,17,1342,16,1459
45,69,17,1342,16,1444
46,50,17,1342,16,1425
47,34,17,1342,16,1409
48,18,17,1342,16,1393
49,17,32,1310,16,1375
50,14,18,1310,16,1358
52,137,32,1141,16,1326
53,119,32,1141,16,1308
55,85,32,1141,16,1274
56,65,32,1141,16,1254
57,84,34,1107,16,1241
58,68,34,1107,16,1225
59,86,33,1074,16,1209
61,52,33,1074,16,1175
64,17,16,1074,16,1123
66,14,20,1040,16,1090
67,119,33,908,16,1076
68,99,33,908,16,1056
70,67,33,908,16,1024
71,50,33,908,16,1007
73,16,33,908,16,973
74,33,33,875,16,957
75,32,16,875,16,939
76,33,34,841,16,924
77,16,34,841,16,907
78,16,18,841,16,891
80,33,46,762,16,857
81,33,29,762,16,840
83,159,30,602,16,807
86,100,30,602,16,748
87,85,30,602,16,733
89,283,34,368,16,701
90,267,34,368,16,685
91,247,34,368,16,665
92,230,34,368,16,648
94,200,34,368,16,618
95,181,34,368,16,599
97,149,34,368,16,567
100,98,34,368,16,516
101,83,34,368,16,501
102,64,34,368,16,482
103,150,33,266,16,465
106,103,33,266,16,418
107,83,33,266,16,398
108,150,15,203,16,384
109,131,15,203,16,365
110,117,15,203,16,351
111,98,15,203,16,332
112,81,15,203,16,315
115,32,15,203,16,266
117,15,34,169,16,234
118,169,34,16,15,234
119,151,34,16,15,216
120,135,34,16,15,200
121,115,34,16,15,180
123,83,34,16,15,148
127,34,17,16,15,82
128,102,31,18,17,168
129,85,31,18,17,151
130,365,33,219,15,632
131,349,33,219,15,616
132,334,33,219,15,601
133,317,33,219,15,584
135,282,33,219,15,549
136,266,33,219,15,533
137,248,33,219,15,515
138,231,33,219,15,498
140,200,33,219,15,467
141,184,33,219,15,451
142,165,33,219,15,432
143,149,33,219,15,416
144,132,33,219,15,399
146,99,33,219,15,366
151,200,16,52,15,283
152,184,16,52,15,267
153,167,16,52,15,250
154,151,16,52,15,234
156,116,16,52,15,199
157,100,16,52,15,183
158,84,16,52,15,167
159,98,18,234,18,368
161,65,18,234,18,335
162,46,18,234,18,316
163,68,15,200,18,301
164,52,15,200,18,285
165,85,35,132,18,270
166,67,35,132,18,252
167,149,33,33,18,233
169,117,33,33,18,201
170,101,33,33,18,185
171,83,33,33,18,167
172,83,16,33,18,150
173,67,16,33,18,134
175,33,16,33,18,100
176,33,33,18,17,101
177,16,33,18,17,84
181,0,17,32,16,65
182,66,34,48,16,164
183,51,34,48,16,149
185,18,34,48,16,116
186,165,34,18,15,232
189,115,34,18,15,182
190,95,34,18,15,162
191,83,34,18,15,150
