序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,55,34,68,17,174
3,99,17,52,15,183
4,66,33,52,15,166
5,83,35,67,15,200
7,85,32,100,17,234
8,68,32,100,17,217
9,84,35,132,17,268
11,51,35,132,17,235
12,67,34,65,16,182
13,65,19,65,16,165
14,85,15,67,17,184
16,50,15,67,17,149
17,100,17,69,15,201
20,67,35,181,17,300
21,50,35,181,17,283
22,68,34,200,14,316
23,86,33,66,16,201
24,69,33,66,16,184
25,52,33,66,16,167
26,67,35,79,17,198
27,67,20,79,17,183
30,66,32,69,14,181
31,99,17,68,18,202
33,82,36,67,13,198
35,85,32,67,15,199
36,69,32,67,15,183
39,69,17,65,15,166
40,99,33,66,18,216
41,53,32,66,16,167
42,82,18,66,18,184
43,64,18,66,18,166
44,65,33,68,15,181
45,52,33,68,15,168
46,66,33,153,15,267
47,51,33,153,15,252
48,66,35,118,15,234
49,69,17,118,15,219
50,68,33,100,15,216
52,83,18,67,15,183
53,83,33,99,18,233
55,51,33,99,18,201
56,85,15,83,14,197
57,70,15,83,14,182
58,67,31,100,17,215
59,58,16,100,17,191
61,80,32,104,16,232
64,100,34,52,16,202
66,66,34,52,16,168
67,82,36,97,17,232
68,68,36,97,17,218
70,52,18,97,17,184
71,53,32,65,17,167
73,65,16,134,17,232
74,63,34,68,16,181
75,65,16,68,16,165
76,82,17,66,17,182
77,67,17,66,17,167
78,68,34,66,18,186
80,100,34,69,14,217
81,51,32,52,15,150
83,66,17,69,14,166
86,52,15,83,16,166
87,86,31,67,18,202
89,65,17,67,18,167
90,67,32,53,16,168
91,65,16,53,16,150
92,80,18,99,18,215
94,67,34,65,18,184
95,51,34,65,18,168
97,52,33,132,17,234
100,65,35,98,18,216
101,85,33,182,18,318
102,67,33,182,18,300
103,134,16,68,16,234
106,65,33,68,16,182
107,67,16,68,16,167
108,65,34,101,15,215
109,67,16,101,15,199
110,117,16,135,16,284
111,66,18,67,15,166
112,100,35,116,14,265
115,67,18,116,14,215
117,51,33,83,14,181
118,68,32,51,14,165
119,51,32,51,14,148
120,82,18,133,16,249
121,67,18,133,16,234
123,65,14,54,15,148
127,68,15,67,17,167
128,103,33,134,17,287
129,67,17,133,17,234
130,67,33,134,17,251
131,65,17,134,17,233
132,84,16,67,17,184
133,50,33,67,17,167
135,101,16,66,16,199
136,67,33,66,16,182
137,67,16,66,16,165
138,67,34,66,16,183
140,67,32,50,16,165
141,132,16,51,17,216
142,66,34,67,16,183
143,99,16,51,17,183
144,66,32,51,17,166
146,50,16,51,17,134
151,69,14,101,16,200
152,101,32,66,18,217
153,66,19,98,18,201
154,68,32,66,18,184
156,52,16,66,18,152
157,51,33,51,16,151
158,65,33,67,18,183
159,65,17,67,18,167
161,67,16,51,15,149
162,51,16,51,15,133
163,84,33,67,18,202
164,85,15,67,18,185
165,99,16,52,16,183
166,83,16,52,16,167
167,66,16,52,16,150
169,82,34,50,17,183
170,85,16,50,17,168
171,68,16,50,17,151
172,118,17,66,17,218
173,67,15,101,17,200
175,66,17,66,17,166
176,50,17,66,17,150
177,66,16,51,16,149
181,67,16,85,15,183
182,51,16,85,15,167
183,83,35,82,16,216
185,65,19,82,16,182
186,68,32,66,17,183
189,51,34,100,17,202
190,66,32,68,17,183
191,81,34,51,16,182
192,66,34,51,16,167
193,65,17,51,16,149
194,66,34,100,16,216
196,68,33,133,16,250
198,51,16,133,16,216
199,65,16,101,16,198
201,65,18,66,16,165
203,84,33,116,17,250
204,68,33,116,17,234
205,68,16,116,17,217
206,66,34,82,17,199
207,50,34,82,17,183
208,67,34,165,17,283
209,68,16,165,17,266
210,52,16,165,17,250
211,52,33,99,16,200
212,67,32,67,16,182
214,65,33,67,17,182
216,115,17,52,16,200
220,84,17,67,17,185
221,66,17,67,17,167
223,51,34,68,15,168
224,68,33,117,16,234
225,51,33,117,16,217
226,67,35,82,16,200
228,116,18,66,15,215
229,83,35,66,15,199
231,66,18,66,15,165
232,66,32,66,19,183
234,67,34,199,18,318
235,84,32,68,15,199
237,65,17,68,15,165
239,68,16,65,19,168
241,52,33,51,16,152
242,68,32,67,18,185
243,64,17,67,18,166
245,68,16,83,16,183
246,51,16,83,16,166
247,52,32,116,16,216
249,66,16,133,17,232
251,68,16,65,18,167
254,68,30,201,17,316
255,65,16,201,17,299
256,65,35,67,16,183
257,84,32,51,17,184
258,65,32,51,17,165
260,52,15,51,17,135
263,50,33,66,17,166
264,102,32,85,17,236
265,50,34,66,16,166
267,66,17,85,17,185
269,83,34,65,17,199
270,66,34,65,17,182
271,51,34,65,17,167
272,68,34,63,20,185
274,51,17,63,20,151
277,65,15,102,18,200
278,99,33,99,18,249
280,52,16,66,18,152
281,51,33,99,18,201
282,86,16,66,18,186
283,82,33,101,16,232
284,66,33,101,16,216
285,101,15,101,17,234
289,66,17,83,16,182
290,51,17,83,16,167
293,66,17,68,16,167
294,66,33,67,18,184
295,51,33,67,18,169
296,50,16,67,18,151
297,68,17,65,27,177
298,68,32,60,5,165
299,116,32,67,18,233
301,67,15,135,14,231
302,92,5,67,18,182
303,76,5,67,18,166
306,69,30,134,16,249
309,66,18,49,18,151
310,66,33,65,16,180
311,65,19,65,16,165
312,69,34,67,15,185
313,51,34,67,15,167
314,67,31,67,18,183
315,53,31,67,18,169
318,67,31,67,16,181
319,53,31,67,16,167
320,67,32,103,16,218
321,100,18,68,16,202
322,63,35,68,16,182
324,67,32,52,17,168
325,65,16,52,17,150
326,51,16,52,17,136
327,68,18,66,18,170
328,68,33,67,16,184
329,52,33,67,16,168
331,51,33,101,16,201
