序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,71,32,52,15,170
2,95,17,100,17,229
3,101,33,67,17,218
5,66,33,67,17,183
6,51,33,67,17,168
7,52,15,67,17,151
9,67,33,66,18,184
11,101,32,68,17,218
12,66,17,100,17,200
13,67,32,68,17,184
14,84,34,51,15,184
15,84,16,51,15,166
16,67,16,51,15,149
17,82,18,65,17,182
18,66,18,65,17,166
19,68,32,50,18,168
22,83,35,84,16,218
23,82,18,84,16,200
24,65,18,84,16,183
25,50,18,84,16,168
26,68,15,68,15,166
27,67,34,67,16,184
30,83,33,100,17,233
33,67,34,66,17,184
34,65,18,66,17,166
35,67,32,67,16,182
37,83,17,134,15,249
39,83,16,66,18,183
40,68,16,66,18,168
43,67,32,101,15,215
44,66,16,101,15,198
45,66,35,132,16,249
46,85,32,155,12,284
47,117,16,66,16,215
49,85,16,66,16,183
51,66,32,101,17,216
52,66,17,101,17,201
53,66,34,67,17,184
54,65,17,67,17,166
56,67,17,101,15,200
58,84,34,83,16,217
60,68,17,83,16,184
61,51,17,83,16,167
62,63,16,66,17,162
63,82,18,67,17,184
64,65,18,67,17,167
65,99,34,100,16,249
67,66,34,100,16,216
68,51,34,100,16,201
69,67,34,66,16,183
70,84,32,133,17,266
71,68,32,133,17,250
72,101,16,66,18,201
73,66,34,66,18,184
75,66,33,66,17,182
76,100,16,83,18,217
77,84,16,83,18,201
79,84,15,68,15,182
81,66,34,99,17,216
82,99,18,65,17,199
83,116,15,52,17,200
84,83,30,52,17,182
88,83,34,151,16,284
89,65,34,151,16,266
90,50,34,151,16,251
92,67,16,118,16,217
93,117,17,67,17,218
94,100,17,67,17,201
96,66,17,67,17,167
97,50,17,67,17,151
98,50,33,101,16,200
100,84,33,83,18,218
101,67,33,83,18,201
102,50,33,83,18,184
103,67,34,100,17,218
104,66,17,100,17,200
105,67,32,68,17,184
106,66,16,68,17,167
108,66,18,65,18,167
109,117,15,101,17,250
111,68,32,101,17,218
112,68,15,101,17,201
113,65,33,68,17,183
114,68,15,68,17,168
115,84,16,83,17,200
116,67,16,83,17,183
117,85,16,67,16,184
118,100,17,66,16,199
120,99,17,83,17,216
122,66,17,83,17,183
124,66,17,50,17,150
125,82,17,100,17,216
126,66,17,100,17,200
128,67,17,100,17,201
129,50,17,100,17,184
130,67,16,68,17,168
131,83,17,51,15,166
132,66,17,51,15,149
134,67,17,150,17,251
135,68,32,67,17,184
136,51,32,67,17,167
138,83,33,68,15,199
140,99,16,68,16,199
142,66,16,68,16,166
143,66,35,83,16,200
144,84,33,50,16,183
146,66,18,50,16,150
148,66,16,100,17,199
149,65,34,116,18,233
151,83,17,67,15,182
152,99,17,118,17,251
153,83,17,118,17,235
154,82,35,83,17,217
157,67,33,67,15,182
158,117,35,67,16,235
159,50,18,67,15,150
160,68,15,102,16,201
161,83,17,67,16,183
162,68,17,67,16,168
163,67,34,66,16,183
164,100,17,66,17,200
165,69,33,66,17,185
166,67,17,66,17,167
168,101,17,66,17,201
169,66,33,66,17,182
170,66,17,66,17,166
171,115,17,67,17,216
172,116,34,67,15,232
173,82,17,67,17,183
174,83,34,67,15,199
175,66,34,67,15,182
177,83,16,84,17,200
178,68,16,84,17,185
180,99,17,51,15,182
181,117,17,66,16,216
182,65,17,51,15,148
183,84,17,66,16,183
184,100,15,68,17,200
185,83,15,68,17,183
188,83,33,83,17,216
189,66,33,83,17,199
192,68,17,66,17,168
193,116,17,134,13,280
195,66,34,134,13,247
196,66,17,134,13,230
197,66,33,51,15,165
198,116,33,67,16,232
199,51,16,51,15,133
200,83,33,67,16,199
203,51,15,67,16,149
204,69,16,65,17,167
205,81,19,67,16,183
206,63,19,67,16,165
207,67,33,50,18,168
208,81,34,67,17,199
209,99,34,84,16,233
210,69,17,67,17,170
212,67,18,84,16,185
213,68,33,133,16,250
215,84,17,66,16,183
216,68,17,66,16,167
217,67,33,66,16,182
218,69,16,66,16,167
220,83,33,134,16,266
221,66,33,134,16,249
225,83,17,67,16,183
226,84,32,51,17,184
228,67,16,51,17,151
229,65,35,83,18,201
230,68,16,83,18,185
231,67,33,68,16,184
232,117,35,66,16,234
233,51,17,68,16,152
234,82,35,66,16,199
236,67,18,66,16,167
237,50,18,66,16,150
238,52,31,51,17,151
239,51,15,51,17,134
240,84,33,51,16,184
242,66,17,51,16,150
243,101,34,132,18,285
245,84,16,132,18,250
246,68,16,132,18,234
248,83,35,65,18,201
249,66,35,65,18,184
250,66,17,65,18,166
252,67,16,100,17,200
253,51,16,100,17,184
258,83,33,67,16,199
259,67,33,67,16,183
260,66,16,67,16,165
261,65,34,66,16,181
262,83,33,83,18,217
265,83,17,135,16,251
266,65,17,135,16,233
267,66,35,100,16,217
268,66,19,100,16,201
269,68,33,150,16,267
270,85,32,51,16,184
271,68,32,51,16,167
272,84,35,83,16,218
274,66,19,83,16,184
275,67,32,67,17,183
276,67,16,67,17,167
277,67,35,98,17,217
279,83,16,101,15,215
281,67,34,117,15,233
283,82,16,85,15,198
284,66,16,85,15,182
287,67,32,51,17,167
288,51,32,51,17,151
289,100,35,66,16,217
290,68,15,101,16,200
292,68,17,66,16,167
293,101,33,84,16,234
294,83,33,84,16,216
297,66,33,67,16,182
298,65,17,67,16,165
299,66,33,133,16,248
300,65,17,133,16,231
301,66,34,66,16,182
302,166,17,66,19,268
304,51,34,65,16,166
307,82,17,66,19,184
309,65,34,84,16,199
311,99,35,99,17,250
312,83,35,99,17,234
313,66,35,99,17,217
314,69,16,99,17,201
315,51,16,99,17,183
316,68,16,66,17,167
317,52,16,66,17,151
318,83,32,271,17,403
319,99,33,84,17,233
321,66,33,84,17,200
322,66,16,84,17,183
324,71,16,66,16,169
325,68,32,124,17,241
327,67,34,90,17,208
329,82,18,103,17,220
330,84,30,73,17,204
332,81,43,81,17,222
334,74,17,81,17,189
335,56,17,81,17,171
336,73,34,68,15,190
337,101,34,83,16,234
338,64,17,68,15,164
339,132,32,101,15,280
341,68,34,133,15,250
342,134,16,68,15,233
343,83,17,101,15,216
345,66,33,68,15,182
346,67,16,68,15,166
347,99,34,65,19,217
348,50,34,67,16,167
350,68,16,65,19,168
351,52,16,65,19,152
353,67,32,85,15,199
354,65,16,85,15,181
355,84,15,134,16,249
356,69,15,134,16,234
357,51,15,134,16,216
360,66,15,235,17,333
361,51,15,235,17,318
362,100,17,67,17,201
365,51,17,67,17,152
367,68,32,83,17,200
369,67,33,67,17,184
370,84,33,51,16,184
371,65,33,51,16,165
373,83,17,84,15,199
375,67,33,117,17,234
377,51,16,117,17,201
378,67,17,83,17,184
379,67,32,101,17,217
380,67,15,101,17,200
381,99,35,149,18,301
384,83,33,116,18,250
386,52,33,116,18,219
389,67,33,67,17,184
390,68,17,67,17,169
391,67,32,67,17,183
392,50,32,67,17,166
393,82,18,66,16,182
394,66,18,66,16,166
395,67,32,67,16,182
396,100,17,83,17,217
397,67,34,83,17,201
399,66,33,67,16,182
400,65,17,67,16,165
401,67,33,233,17,350
402,83,34,116,16,249
403,83,17,116,16,232
404,67,17,116,16,216
406,51,33,83,16,183
