序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,0,30,52,16,98
3,0,14,52,16,82
4,0,36,32,16,84
5,17,32,0,16,65
7,16,32,0,18,66
8,0,32,0,18,50
9,0,16,0,18,34
11,0,15,69,16,100
12,0,37,0,15,52
13,19,32,83,18,152
14,0,32,83,18,133
16,0,32,0,20,52
17,36,16,33,14,99
20,15,18,48,18,99
21,18,31,17,18,84
22,0,31,17,18,66
23,0,17,17,18,52
24,0,35,0,17,52
25,35,14,35,16,100
26,66,33,34,17,150
27,0,14,35,16,65
30,16,17,34,17,84
31,0,17,34,17,68
33,0,15,49,17,81
35,0,17,115,17,149
36,0,32,0,18,50
39,0,15,117,18,150
40,50,17,68,15,150
41,0,15,18,17,50
42,68,35,0,15,118
43,33,17,17,18,85
44,50,18,0,15,83
45,0,17,17,18,52
46,17,18,0,15,50
47,82,38,13,18,151
48,0,32,16,16,64
49,33,16,51,18,118
50,16,16,51,18,101
52,38,31,34,19,122
53,21,31,34,19,105
55,52,32,51,14,149
56,0,34,19,13,66
57,0,18,19,13,50
58,0,32,51,14,97
59,0,13,51,14,78
61,16,32,0,18,66
64,0,35,18,14,67
66,0,32,67,17,116
67,14,34,0,16,64
68,0,34,0,16,50
70,0,33,17,17,67
71,0,17,17,17,51
73,0,17,49,15,81
74,16,16,32,19,83
75,16,32,0,19,67
76,0,32,0,19,51
77,52,34,0,15,101
78,0,37,66,17,120
80,0,34,0,15,49
81,34,17,17,15,83
83,0,17,17,15,49
86,0,34,117,16,167
87,17,33,17,16,83
89,0,16,17,16,49
90,17,16,0,18,51
91,34,15,18,16,83
92,0,33,18,16,67
94,0,34,66,19,119
95,0,16,66,19,101
97,0,18,97,17,132
100,0,35,83,16,134
101,0,16,83,16,115
102,0,32,0,17,49
103,16,34,33,18,101
106,0,33,0,18,51
107,34,15,35,15,99
108,0,33,35,15,83
109,15,35,99,17,166
110,0,35,99,17,151
111,0,18,99,17,134
112,15,18,51,15,99
115,19,32,0,17,68
117,0,15,0,17,32
118,0,32,0,19,51
119,0,15,0,19,34
120,19,15,0,18,52
121,0,15,0,18,33
123,0,17,33,17,67
127,16,33,0,17,66
128,68,32,0,18,118
129,34,18,0,17,69
130,17,18,0,17,52
131,0,18,0,17,35
132,0,32,0,18,50
133,33,14,0,17,64
135,0,14,0,17,31
136,17,18,0,17,52
137,0,18,0,17,35
138,0,33,66,17,116
140,34,32,17,19,102
141,17,32,17,19,85
142,17,15,17,19,68
143,15,36,16,15,82
144,0,36,16,15,67
146,16,15,17,16,64
151,19,33,0,15,67
152,0,33,0,15,48
153,17,32,33,18,100
154,0,32,33,18,83
156,17,16,0,18,51
157,16,36,48,17,117
158,18,18,48,17,101
159,18,31,17,17,83
161,49,32,84,18,183
162,34,32,84,18,168
163,101,16,34,16,167
164,0,32,84,18,134
165,16,34,18,16,84
166,18,16,18,16,68
167,66,18,0,16,100
169,16,34,0,16,66
170,0,34,0,16,50
171,50,35,199,17,301
172,0,32,35,16,83
173,16,35,199,17,267
175,17,33,0,16,66
176,16,17,0,16,49
177,17,34,0,15,66
181,51,32,51,16,150
