序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,0,35,16,14,65
2,0,30,84,16,130
3,82,32,18,15,147
5,49,32,18,15,114
6,16,16,83,19,134
7,32,16,18,15,81
9,16,33,18,19,86
11,15,37,15,17,84
12,0,37,15,17,69
13,0,19,15,17,51
14,32,32,51,18,133
15,0,17,16,16,49
16,52,16,81,18,167
17,0,16,51,18,85
18,51,18,83,14,166
19,49,31,17,18,115
22,0,31,17,18,66
23,52,31,51,17,151
24,52,14,51,17,134
25,117,34,49,17,217
26,0,31,51,17,99
27,0,14,51,17,82
30,33,34,49,17,133
33,15,34,65,17,131
34,0,34,65,17,116
35,0,17,65,17,99
37,17,33,50,17,117
39,0,15,50,17,82
40,17,15,18,17,67
43,17,33,83,16,149
44,0,33,83,16,132
45,0,17,83,16,116
46,17,18,115,18,168
47,18,32,83,18,151
49,49,38,13,18,118
51,67,18,16,18,119
52,0,38,13,18,69
53,34,18,16,18,86
54,31,34,49,16,130
56,34,32,17,16,99
58,19,13,17,16,65
60,33,32,101,16,182
61,101,14,18,16,149
62,0,32,101,16,149
63,14,35,50,16,115
64,0,35,50,16,101
65,0,17,50,16,83
67,14,34,16,17,81
68,34,33,135,15,217
69,16,33,135,15,199
70,16,17,135,15,183
71,0,17,135,15,167
72,98,37,15,19,169
73,0,17,83,18,118
75,67,18,15,19,119
76,17,15,86,17,135
77,15,37,15,19,86
79,0,18,15,19,52
81,0,19,15,17,51
82,0,32,17,15,64
83,34,15,84,16,149
84,0,32,84,16,132
88,17,16,17,16,66
89,16,33,51,16,116
90,17,16,51,16,100
92,0,33,18,16,67
93,115,35,16,16,182
94,18,16,50,16,100
96,36,30,51,16,133
97,18,30,51,16,115
98,14,16,51,16,97
100,0,35,16,16,67
101,0,16,16,16,48
102,0,32,51,16,99
103,50,33,18,15,116
104,0,34,17,16,67
105,50,33,17,18,118
106,0,33,18,15,66
108,0,33,17,18,68
109,32,18,15,18,83
111,33,18,83,15,149
112,0,33,83,15,131
113,18,34,49,15,116
114,51,15,51,15,132
115,19,32,51,15,117
116,17,15,51,15,98
117,15,32,52,17,116
118,17,15,52,17,101
120,19,15,186,15,235
122,0,35,15,18,68
124,0,33,49,17,99
125,151,32,85,17,285
126,0,33,16,17,66
128,0,33,116,18,167
129,17,35,17,15,84
130,0,35,17,15,67
131,82,35,50,17,184
132,0,32,18,14,64
