序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,0,15,82,18,115
3,17,16,0,16,49
4,0,16,0,16,32
5,67,33,16,18,134
7,34,33,16,18,101
8,18,33,16,18,85
9,33,34,17,16,100
11,0,34,17,16,67
12,18,33,0,17,68
13,0,33,0,17,50
14,16,33,17,17,83
16,33,17,16,17,83
17,0,34,16,17,67
20,17,34,0,16,67
21,34,33,16,16,99
22,0,18,0,16,34
23,0,33,16,16,65
24,0,17,16,16,49
25,16,16,51,18,101
26,16,34,17,18,85
27,0,34,17,18,69
30,18,32,16,16,82
31,0,32,16,16,64
33,16,16,34,16,82
35,0,34,49,18,101
36,17,34,99,16,166
39,33,33,18,15,99
40,18,33,18,15,84
41,18,15,18,15,66
42,48,34,50,17,149
43,0,33,16,18,67
44,49,33,83,18,183
45,0,34,50,17,101
46,0,18,50,17,85
47,0,33,83,18,134
48,17,34,16,17,84
49,0,34,16,17,67
50,17,33,51,16,117
52,17,34,17,16,84
53,16,18,17,16,67
55,0,33,15,17,65
56,0,16,15,17,48
57,0,32,0,18,50
58,17,33,34,18,102
59,0,33,34,18,85
61,34,33,135,15,217
64,0,15,135,15,165
66,0,16,17,17,50
67,34,32,18,17,101
68,17,32,18,17,84
70,14,35,15,17,81
71,0,35,15,17,67
73,32,33,68,15,148
74,17,33,68,15,133
75,0,33,68,15,116
76,0,15,68,15,98
77,0,34,17,17,68
78,0,17,17,17,51
80,17,33,16,17,83
81,15,18,16,17,66
83,0,33,16,18,67
86,0,18,16,18,52
87,34,32,17,16,99
89,0,32,17,16,65
90,17,33,17,18,85
91,33,35,98,18,184
92,16,35,98,18,167
94,18,32,16,18,84
95,0,32,16,18,66
97,34,32,0,18,84
100,16,33,18,17,84
101,0,33,18,17,68
102,0,15,18,17,50
103,18,17,49,17,101
106,16,34,0,16,66
107,17,17,0,16,50
108,17,33,66,18,134
109,0,33,66,18,117
110,30,20,18,15,83
111,0,33,18,15,66
112,20,33,0,18,71
115,0,35,33,17,85
117,99,34,83,17,233
118,16,33,16,17,82
119,0,33,16,17,66
120,0,16,16,17,49
121,0,33,34,17,84
123,0,34,83,17,134
127,0,33,84,17,134
128,66,16,101,16,199
129,17,17,67,16,117
130,17,33,101,16,167
131,0,33,101,16,150
132,33,17,83,17,150
133,0,34,83,17,134
135,0,33,17,17,67
136,0,17,17,17,51
137,67,33,16,16,132
138,33,17,16,17,83
140,0,17,16,17,50
141,33,32,35,15,115
142,17,32,35,15,99
143,0,32,35,15,82
144,16,35,0,15,66
146,18,33,16,17,84
151,0,34,18,15,67
152,17,33,16,18,84
153,0,33,16,18,67
154,15,34,0,15,64
156,18,32,17,17,84
157,0,32,17,17,66
158,0,17,17,17,51
159,17,17,17,16,67
161,33,34,0,16,83
162,16,34,0,16,66
163,17,17,0,16,50
164,17,33,50,16,116
165,0,33,50,16,99
166,0,17,50,16,83
167,0,33,17,16,66
169,0,33,17,17,67
170,16,34,16,17,83
171,0,34,16,17,67
172,17,33,149,18,217
173,66,34,49,17,166
175,17,16,50,17,100
176,16,34,49,17,116
177,34,33,100,18,185
181,0,33,16,18,67
182,17,34,16,17,84
183,0,34,16,17,67
185,33,33,17,17,100
186,17,33,17,17,84
189,0,34,49,17,100
