序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,0,38,0,17,55
2,0,15,0,17,32
3,0,33,49,18,100
5,0,33,16,18,67
6,0,17,16,18,51
7,16,18,16,17,67
9,0,33,51,16,100
11,0,34,17,16,67
12,18,33,50,17,118
13,0,33,50,17,100
14,16,33,50,17,116
15,0,33,50,17,100
16,33,17,33,16,99
17,17,17,33,16,83
18,17,33,16,18,84
19,0,33,16,18,67
22,0,18,49,16,83
23,0,33,16,16,65
24,0,17,16,16,49
25,32,34,83,16,165
26,16,34,83,16,149
27,69,32,49,17,167
30,18,32,49,17,116
33,82,18,15,18,133
34,16,34,49,18,117
35,17,17,49,18,101
37,0,34,15,18,67
39,0,33,82,18,133
40,18,33,49,18,118
43,33,34,16,17,100
44,31,18,16,17,82
45,0,34,16,17,67
46,0,18,16,17,51
47,0,33,17,17,67
49,34,33,149,17,233
51,0,33,149,17,199
52,17,34,17,16,84
53,99,33,17,17,166
54,18,33,82,17,150
56,16,32,0,18,66
58,35,15,17,17,84
60,0,15,17,17,49
61,0,34,18,15,67
62,17,33,0,18,68
63,0,33,0,18,51
64,0,15,0,18,33
65,0,34,17,17,68
67,34,32,85,15,166
68,49,35,65,17,166
69,0,32,85,15,132
70,14,35,65,17,131
71,0,35,65,17,117
72,49,33,0,17,99
73,32,33,0,17,82
75,0,33,0,17,50
76,15,34,17,17,83
77,17,17,17,17,68
79,34,33,33,16,116
81,0,33,33,16,82
82,0,18,33,16,67
83,0,33,50,18,101
84,17,34,49,17,117
88,18,32,83,17,150
89,0,32,83,17,132
90,17,33,17,18,85
92,16,35,15,17,83
93,0,35,15,17,67
94,18,32,50,16,116
96,17,34,16,16,83
97,0,34,16,16,66
98,18,32,18,15,83
100,16,33,18,17,84
101,18,15,18,17,68
102,33,17,150,15,215
103,0,35,150,15,200
104,17,32,17,17,83
105,82,17,13,20,132
106,0,16,17,17,50
108,17,33,13,20,83
109,0,33,13,20,66
111,0,33,51,17,101
112,20,33,18,17,88
113,33,35,17,16,101
114,15,35,17,16,83
115,35,33,17,16,101
116,17,33,17,16,83
117,33,33,16,17,99
118,16,33,16,17,82
120,0,16,16,17,49
122,17,34,83,17,151
124,16,33,50,17,116
125,0,33,50,17,100
126,0,16,50,17,83
128,0,15,117,17,149
129,17,17,50,17,101
130,17,33,17,17,84
131,0,33,17,17,67
132,16,34,16,17,83
134,17,33,17,17,84
135,33,34,49,17,133
136,0,17,17,17,51
138,50,33,116,17,216
140,0,17,49,16,82
142,17,32,17,18,84
143,0,32,17,18,67
144,51,33,50,17,151
146,18,33,50,17,118
148,0,18,50,17,85
149,16,17,17,17,67
151,0,34,18,15,67
152,0,17,18,15,50
153,0,33,16,18,67
154,15,34,0,15,64
157,0,32,84,17,133
158,0,17,84,17,118
159,34,33,17,17,101
160,17,33,17,17,84
161,0,33,17,17,67
162,16,34,16,17,83
163,0,34,16,17,67
164,17,33,0,18,68
165,16,17,0,18,51
166,0,17,0,18,35
168,82,33,50,17,182
169,0,33,17,17,67
170,16,34,83,17,150
171,100,34,16,17,167
172,17,33,50,17,117
173,0,33,50,17,100
174,17,33,50,17,117
175,33,34,16,17,100
177,17,17,16,17,67
178,50,33,16,18,117
180,17,33,16,18,84
181,0,33,16,18,67
182,17,34,16,17,84
183,0,34,16,17,67
184,51,33,83,17,184
185,33,33,83,17,166
188,0,15,83,17,115
189,0,34,0,17,51
192,17,32,17,17,83
193,15,17,17,17,66
195,0,34,16,18,68
196,17,34,15,17,83
197,0,34,15,17,66
198,18,32,0,16,66
199,0,32,0,16,48
200,0,17,0,16,33
203,34,34,82,17,167
204,17,34,82,17,150
205,0,34,82,17,133
206,17,32,20,14,83
207,0,32,20,14,66
208,16,34,16,17,83
209,20,14,16,17,67
210,47,33,18,15,113
212,17,33,18,15,83
213,66,34,49,18,167
215,0,33,151,16,200
216,15,34,49,18,116
217,34,33,135,16,218
218,16,33,135,16,200
220,16,34,84,17,151
221,16,18,84,17,135
225,17,16,18,17,68
226,16,35,16,17,84
228,0,17,16,17,50
229,0,33,0,17,50
230,0,17,0,17,34
231,0,32,17,17,66
232,0,15,17,17,49
233,17,17,34,16,84
234,17,34,83,17,151
236,17,33,117,17,184
237,16,17,117,17,167
238,0,17,117,17,151
239,33,34,83,16,166
240,17,34,83,16,150
242,0,17,83,16,116
243,33,34,16,16,99
245,17,17,16,16,66
246,17,32,17,18,84
248,16,35,15,17,83
249,0,35,15,17,67
250,0,18,15,17,50
252,17,33,17,17,84
253,0,33,17,17,67
258,15,36,15,17,83
259,36,32,16,17,101
260,19,32,16,17,84
261,0,32,16,17,65
262,17,33,17,17,84
265,0,34,16,18,68
266,17,34,49,17,117
267,0,34,49,17,100
268,134,17,17,15,183
269,66,34,16,17,133
270,16,34,17,17,84
271,34,34,16,17,101
272,17,34,16,17,84
274,17,33,17,15,82
275,33,32,17,16,98
276,17,32,17,16,82
277,17,15,17,16,65
279,0,33,17,16,66
281,0,33,17,17,67
283,68,34,16,16,134
284,17,34,151,15,217
287,0,34,16,16,66
288,17,32,17,18,84
289,0,32,17,18,67
290,16,35,15,17,83
292,18,32,18,15,83
293,0,32,18,15,65
294,17,33,18,16,84
297,34,33,17,16,100
298,16,33,17,16,82
299,0,33,17,16,66
300,17,33,83,17,150
301,17,16,83,17,133
302,0,16,83,17,116
304,15,33,17,17,82
307,34,34,17,17,102
309,0,34,17,17,68
311,0,34,49,17,100
312,17,32,17,17,83
313,15,17,17,17,66
314,117,34,17,16,184
315,17,17,17,17,68
316,83,34,17,16,150
317,0,34,83,16,133
318,49,34,17,16,116
319,0,32,51,16,99
321,0,34,17,16,67
322,17,33,33,17,100
324,16,33,84,16,149
325,0,33,84,16,133
327,0,35,49,16,100
329,0,31,85,17,133
330,16,34,18,15,83
332,16,33,18,17,84
334,15,35,16,17,83
335,0,35,16,17,68
336,17,33,16,17,83
337,16,17,16,17,66
338,0,17,16,17,50
339,0,33,17,17,67
341,34,33,49,17,133
342,17,33,49,17,116
343,0,33,49,17,99
345,83,17,15,18,133
346,33,17,49,18,117
347,0,33,49,18,100
348,0,17,49,18,84
350,0,17,15,18,50
351,0,33,16,17,66
353,0,33,50,16,99
354,17,33,17,16,83
355,0,33,17,16,66
356,16,33,117,17,183
357,0,33,117,17,167
360,0,17,82,17,116
361,17,15,17,17,66
362,15,34,84,16,149
365,33,33,18,16,100
367,0,33,18,16,67
369,18,16,17,17,68
370,16,34,50,16,116
