序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,109,30,119,17,275
2,101,13,119,17,250
3,116,18,116,17,267
5,119,13,120,16,268
6,114,33,118,18,283
7,114,16,118,18,266
9,119,17,115,18,269
11,100,33,115,18,266
12,115,34,116,17,282
13,120,16,116,17,269
14,119,33,117,15,284
15,118,18,117,15,268
16,117,33,151,16,317
17,115,18,151,16,300
18,132,18,118,16,284
19,115,18,118,16,267
22,118,32,117,17,284
23,117,15,117,17,266
24,117,34,118,20,289
25,151,16,104,28,299
26,136,16,104,28,284
27,118,16,104,28,266
30,115,34,117,15,281
33,118,20,130,16,284
34,120,28,118,17,283
35,104,28,118,17,267
37,117,17,118,15,267
39,117,15,118,17,267
40,133,17,117,15,282
43,118,17,116,16,267
44,118,32,116,17,283
45,118,15,116,17,266
46,116,34,118,14,282
47,118,17,118,14,267
49,117,15,116,17,265
51,116,16,117,18,267
52,131,17,116,18,282
53,116,17,116,18,267
54,116,33,125,27,301
56,114,34,118,17,283
58,133,18,117,16,284
60,133,18,118,16,285
61,116,18,118,16,268
62,139,44,115,17,315
63,125,44,115,17,301
64,108,44,115,17,284
65,118,17,115,17,267
67,117,16,116,18,267
68,119,33,117,16,285
69,118,16,117,16,267
70,126,18,117,17,278
71,115,18,117,17,267
72,117,32,102,16,267
73,115,17,102,16,250
75,116,18,115,17,266
76,117,32,117,18,284
77,117,16,117,18,268
79,117,17,116,16,266
81,118,16,117,16,267
82,117,33,118,15,283
83,115,17,118,15,265
84,116,35,116,15,282
88,116,33,118,15,282
89,117,16,118,15,266
90,117,33,118,15,283
92,116,33,118,16,283
93,116,15,118,16,265
94,132,17,118,15,282
96,134,15,118,17,284
97,118,15,118,17,268
98,115,33,119,16,283
100,115,34,117,17,283
101,118,16,117,17,268
102,117,33,117,18,285
103,118,15,117,18,268
104,115,35,115,18,283
105,118,17,115,18,268
106,117,33,115,17,282
108,133,17,117,15,282
109,117,17,117,15,266
111,117,18,116,15,266
112,117,33,116,16,282
113,115,18,116,16,265
114,116,32,116,19,283
115,115,17,116,19,267
116,116,33,123,28,300
117,117,15,123,28,283
118,116,33,118,16,283
120,116,34,117,17,284
122,117,35,117,15,284
124,138,44,118,15,315
125,123,44,118,15,300
126,105,44,118,15,282
128,116,34,117,17,284
129,117,17,117,17,268
130,118,33,117,17,285
131,117,15,117,17,266
132,111,34,117,17,279
134,117,32,117,17,283
135,118,15,117,17,267
136,116,35,116,17,284
138,132,17,117,18,284
140,118,34,116,15,283
142,117,32,117,16,282
143,117,17,117,16,267
144,116,34,117,16,283
146,117,35,114,17,283
148,133,15,118,16,282
149,116,15,118,16,265
151,117,16,117,17,267
152,134,16,118,14,282
153,117,16,118,14,265
154,116,33,117,17,283
157,101,33,118,15,267
158,116,34,117,16,283
159,117,17,117,16,267
160,134,14,118,17,283
161,118,14,118,17,267
162,116,35,115,19,285
163,117,17,115,19,268
164,117,32,118,16,283
165,118,15,118,16,267
166,116,34,117,17,284
168,132,17,116,18,283
169,118,17,116,18,269
170,117,34,115,17,283
171,115,19,115,17,266
172,133,16,118,16,283
173,118,16,118,16,268
174,116,34,116,16,282
175,117,17,116,16,266
177,116,18,115,17,266
178,119,32,118,16,285
180,116,34,115,17,282
181,118,16,115,17,266
182,117,32,119,15,283
183,116,16,119,15,266
184,116,34,117,16,283
185,115,17,117,16,265
188,116,32,117,17,282
189,115,17,117,17,266
192,117,33,116,18,284
193,117,16,116,18,267
195,114,19,118,15,266
196,118,33,118,15,284
197,117,17,118,15,267
198,115,34,116,18,283
199,116,18,116,18,268
