序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,101,13,119,17,250
3,116,18,116,17,267
4,119,31,120,16,286
5,119,13,120,16,268
7,114,16,118,18,266
8,132,17,115,18,282
9,119,17,115,18,269
11,116,17,115,18,266
12,115,34,116,17,282
13,120,16,116,17,269
14,119,33,117,15,284
16,117,33,151,16,317
17,115,18,151,16,300
20,115,34,116,16,281
21,116,17,116,16,265
22,118,32,117,17,284
23,117,15,117,17,266
24,117,34,118,20,289
25,151,16,104,28,299
26,136,16,104,28,284
27,118,16,104,28,266
30,115,34,117,15,281
31,117,17,117,15,266
33,118,20,130,16,284
35,104,28,118,17,267
36,133,17,118,15,283
39,117,15,118,17,267
40,133,17,117,15,282
41,113,17,117,15,262
42,119,33,116,16,284
43,118,17,116,16,267
44,118,32,116,17,283
45,118,15,116,17,266
46,116,34,118,14,282
47,118,17,118,14,267
48,134,15,116,17,282
49,117,15,116,17,265
50,133,16,117,18,284
52,131,17,116,18,282
53,116,17,116,18,267
55,118,14,125,27,284
56,114,34,118,17,283
57,116,17,118,17,268
58,133,18,117,16,284
59,117,18,117,16,268
61,116,18,118,16,268
64,108,44,115,17,284
66,101,17,115,17,250
67,117,16,116,18,267
68,119,33,117,16,285
70,126,18,117,17,278
71,115,18,117,17,267
73,115,17,102,16,250
74,132,18,115,17,282
75,116,18,115,17,266
76,117,32,117,18,284
77,117,16,117,18,268
78,117,35,116,16,284
80,119,32,117,16,284
81,102,32,117,16,267
83,115,17,118,15,265
86,133,16,116,17,282
87,116,16,116,17,265
89,117,16,118,15,266
90,117,33,118,15,283
91,118,15,118,15,266
92,116,33,118,16,283
94,115,34,118,15,282
95,116,17,118,15,266
97,118,15,118,17,268
100,115,34,117,17,283
101,118,16,117,17,268
102,117,33,117,18,285
103,118,15,117,18,268
106,117,33,115,17,282
107,119,16,115,17,267
108,133,17,117,15,282
109,117,17,117,15,266
110,116,34,116,15,281
111,117,18,116,15,266
112,117,33,116,16,282
115,115,17,116,19,267
117,117,15,123,28,283
118,116,33,118,16,283
119,116,15,118,16,265
120,116,34,117,17,284
121,116,16,117,17,266
123,116,19,117,15,267
127,118,16,118,15,267
128,116,34,117,17,284
129,117,17,117,17,268
130,118,33,117,17,285
131,117,15,117,17,266
132,111,34,117,17,279
133,115,18,117,17,267
135,118,15,117,17,267
136,116,35,116,17,284
137,117,17,116,17,267
138,132,17,117,18,284
140,118,34,116,15,283
141,117,17,116,15,265
142,117,32,117,16,282
143,117,17,117,16,267
144,116,34,117,16,283
146,117,35,114,17,283
151,117,16,117,17,267
152,134,16,118,14,282
153,117,16,118,14,265
154,116,33,117,17,283
156,116,33,118,15,282
157,118,16,118,15,267
158,116,34,117,16,283
159,117,17,117,16,267
161,118,14,118,17,267
162,116,35,115,19,285
163,117,17,115,19,268
164,117,32,118,16,283
165,118,15,118,16,267
166,116,34,117,17,284
167,117,16,117,17,267
169,118,17,116,18,269
170,117,34,115,17,283
171,115,19,115,17,266
172,133,16,118,16,283
173,118,16,118,16,268
175,117,17,116,16,266
176,117,34,115,17,283
177,116,18,115,17,266
181,118,16,115,17,266
182,117,32,119,15,283
183,116,16,119,15,266
185,115,17,117,16,265
186,117,34,114,19,284
189,115,17,117,17,266
190,135,15,116,18,284
191,119,15,116,18,268
192,117,33,116,18,284
193,117,16,116,18,267
194,115,34,118,15,282
196,118,33,118,15,284
198,115,34,116,18,283
199,116,18,116,18,268
201,116,18,115,19,268
203,118,15,116,17,266
204,117,33,118,17,285
205,118,15,118,17,268
206,117,35,117,17,286
207,116,18,117,17,268
208,119,33,115,19,286
209,115,19,115,19,268
210,116,32,102,14,264
211,116,17,102,14,249
212,133,17,134,14,298
214,118,34,114,17,283
216,134,19,114,17,284
220,116,35,114,18,283
221,134,31,117,16,298
223,114,17,117,16,264
224,117,33,117,18,285
225,114,17,117,18,266
226,117,33,119,16,285
228,117,35,117,15,284
229,114,18,117,15,264
231,117,16,118,17,268
232,134,18,117,15,284
234,118,33,133,18,302
235,119,16,133,18,286
237,117,15,119,15,266
239,118,17,117,16,268
241,117,15,116,17,265
242,115,21,129,17,282
243,133,33,117,16,299
245,119,15,117,16,267
246,116,34,120,29,299
247,117,16,120,29,282
249,116,17,117,17,267
251,116,17,118,17,268
254,136,46,116,18,316
255,120,46,116,18,300
256,117,34,116,18,285
257,117,17,116,18,268
258,117,35,116,16,284
260,118,32,117,17,284
263,101,33,117,17,268
264,117,34,117,17,285
265,116,18,117,17,268
267,116,16,116,17,265
269,117,17,116,16,266
270,116,33,116,16,281
271,117,17,116,16,266
272,118,34,115,17,284
274,117,32,116,18,283
277,116,16,117,17,266
278,133,16,115,18,282
280,115,34,118,15,282
281,115,17,118,15,265
282,117,34,115,19,285
283,116,18,115,19,268
284,117,33,116,17,283
285,117,17,116,17,267
289,118,15,117,17,267
290,117,35,116,17,285
293,116,17,101,15,249
294,102,17,101,15,235
295,120,15,116,17,268
296,116,33,116,17,282
297,117,17,116,17,267
298,118,34,117,17,286
299,116,17,117,17,267
301,116,17,116,19,268
302,114,34,116,17,281
303,116,17,116,17,266
306,116,35,132,17,300
309,102,33,116,17,268
310,133,17,101,16,267
311,116,17,101,16,250
312,134,17,118,14,283
313,117,17,118,14,266
314,116,33,116,19,284
315,132,34,115,16,297
318,118,34,132,17,301
319,101,34,132,17,284
320,118,31,118,17,284
321,118,14,118,17,267
322,117,36,116,15,284
324,118,30,118,17,283
325,115,16,118,17,266
326,115,35,117,16,283
327,115,17,117,16,265
328,115,34,115,17,281
329,118,17,115,17,267
331,116,15,117,17,265
333,118,17,118,16,269
334,117,33,117,17,284
335,117,16,117,17,267
337,115,17,117,17,266
339,117,17,116,17,267
343,117,17,117,17,268
344,118,33,116,17,284
345,101,33,116,17,267
346,133,17,117,18,285
347,116,17,117,18,268
348,132,17,115,17,281
350,117,34,132,17,300
351,117,17,132,17,283
354,117,35,133,16,301
355,117,18,133,16,284
358,132,17,116,18,283
360,117,34,117,16,284
362,117,34,117,15,283
365,118,16,117,17,268
366,117,34,115,17,283
367,116,18,115,17,266
369,117,16,116,18,267
372,116,34,117,17,284
373,117,17,117,17,268
374,118,32,117,17,284
375,115,17,117,17,266
376,132,18,116,16,282
377,116,18,116,16,266
378,131,17,117,18,283
381,117,17,115,17,266
382,102,17,115,17,251
385,116,16,117,17,266
386,117,35,115,18,285
390,133,17,117,18,285
393,117,17,101,15,250
394,117,34,116,17,284
397,116,17,117,17,267
398,117,35,133,16,301
401,101,33,134,15,283
402,118,33,116,17,284
403,116,17,116,17,266
404,118,33,118,15,284
405,117,17,118,15,267
406,117,34,116,15,282
407,115,18,116,15,264
409,134,32,118,16,300
410,118,32,118,16,284
412,117,33,117,17,284
413,118,15,117,17,267
415,116,15,119,15,265
