序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,152,17,348,19,536
2,133,17,348,19,517
3,115,17,348,19,499
5,82,17,348,19,466
6,67,17,348,19,451
7,83,16,315,19,433
9,50,16,315,19,400
11,17,16,315,19,367
12,31,19,281,19,350
13,15,19,281,19,334
14,19,34,247,19,319
15,118,16,147,19,300
16,102,16,147,19,284
17,84,16,147,19,266
18,84,31,116,19,250
19,69,31,116,19,235
22,31,16,116,19,182
23,31,35,81,19,166
24,16,35,81,19,151
25,17,18,81,19,135
26,18,34,47,19,118
27,17,17,47,19,100
30,17,33,83,16,149
33,34,32,150,17,233
34,82,34,83,17,216
35,83,16,83,17,199
37,51,16,83,17,167
39,83,18,16,17,134
40,65,18,16,17,116
43,17,18,16,17,68
44,18,33,84,17,152
45,0,33,84,17,134
46,218,33,15,17,283
47,201,33,15,17,266
49,168,33,15,17,233
51,134,33,15,17,199
52,117,33,15,17,182
53,100,33,15,17,165
54,85,33,15,17,150
56,52,33,15,17,117
58,19,33,15,17,84
60,32,17,17,17,83
61,82,16,36,15,149
62,67,16,36,15,134
63,167,33,19,15,234
64,150,33,19,15,217
65,133,33,19,15,200
67,101,33,19,15,168
68,83,33,19,15,150
69,65,33,19,15,132
70,50,33,19,15,117
71,149,16,34,18,217
72,134,16,34,18,202
73,117,16,34,18,185
75,84,16,34,18,152
76,65,16,34,18,133
77,85,15,18,16,134
79,115,16,19,17,167
81,83,16,19,17,135
82,64,16,19,17,116
83,49,16,19,17,101
84,31,16,19,17,83
88,17,32,17,16,82
89,0,32,17,16,65
90,16,33,16,17,82
92,32,17,17,17,83
93,67,33,33,18,151
94,51,33,33,18,135
96,17,33,33,18,101
97,84,16,34,16,150
98,65,16,34,16,131
100,82,33,17,15,147
101,68,33,17,15,133
102,50,33,17,15,115
103,34,33,17,15,99
104,33,17,17,15,82
105,16,17,17,15,65
106,34,15,33,17,99
108,65,69,6,10,150
109,50,69,6,10,135
111,17,69,6,10,102
112,335,17,84,17,453
113,266,17,84,17,384
114,260,17,84,17,378
115,250,17,84,17,368
116,233,17,84,17,351
117,217,17,84,17,335
118,200,17,84,17,318
120,167,17,84,17,285
122,133,17,84,17,251
124,99,17,84,17,217
125,201,32,17,17,267
126,184,32,17,17,250
128,153,32,17,17,219
129,134,32,17,17,200
130,118,32,17,17,184
131,101,32,17,17,167
132,85,32,17,17,151
134,183,33,18,17,251
135,167,33,18,17,235
136,149,33,18,17,217
138,117,33,18,17,185
140,83,33,18,17,151
142,149,33,34,17,233
143,132,33,34,17,216
144,117,33,34,17,201
146,84,33,34,17,168
148,49,33,34,17,133
149,32,33,34,17,116
151,33,34,17,17,101
152,15,34,17,17,83
153,18,16,17,17,68
154,16,34,16,17,83
157,33,34,14,18,99
158,17,34,14,18,83
159,17,17,14,18,66
160,17,32,16,16,81
161,32,32,168,16,248
162,18,32,168,16,234
163,16,16,168,16,216
164,16,34,134,16,200
165,18,16,134,16,184
166,16,34,100,16,166
168,97,18,16,18,149
169,82,18,16,18,134
170,64,18,16,18,116
171,48,18,16,18,100
172,32,18,16,18,84
173,33,34,16,17,100
174,85,32,50,17,184
175,67,32,50,17,166
177,165,35,82,17,299
178,149,35,82,17,283
180,117,35,82,17,251
181,135,34,48,17,234
182,118,34,48,17,217
183,100,34,48,17,199
184,85,34,48,17,184
185,68,34,48,17,167
188,34,17,48,17,116
189,17,17,48,17,99
192,17,34,118,17,186
193,17,17,118,17,169
195,0,34,84,17,135
196,84,34,16,17,151
197,67,34,16,17,134
198,214,34,35,16,299
199,198,34,35,16,283
200,181,34,35,16,266
203,131,34,35,16,216
204,115,34,35,16,200
205,98,34,35,16,183
206,83,34,35,16,168
207,66,34,35,16,151
208,83,35,81,17,216
209,66,35,81,17,199
210,49,35,81,17,182
212,17,35,81,17,150
213,35,32,49,17,133
215,81,17,18,17,133
216,65,17,18,17,117
217,49,17,18,17,101
218,31,17,18,17,83
220,17,35,49,17,118
221,167,35,14,19,235
225,100,35,14,19,168
226,83,35,14,19,151
228,50,35,14,19,118
229,33,35,14,19,101
230,30,19,14,19,82
231,16,19,14,19,68
232,19,33,18,14,84
233,14,19,18,14,65
234,19,32,32,18,101
236,30,16,18,16,80
237,32,34,434,16,516
238,16,34,434,16,500
239,18,16,434,16,484
240,0,16,434,16,466
242,17,33,366,16,432
243,99,34,266,16,415
245,66,34,266,16,382
246,84,32,234,16,366
248,51,32,234,16,333
249,34,32,234,16,316
250,17,32,234,16,299
252,35,15,200,16,266
253,34,36,431,16,517
258,16,35,382,18,451
259,18,17,382,18,435
