序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
2,18,33,15,18,84
3,99,33,17,16,165
4,83,33,17,16,149
5,66,33,17,16,132
7,33,33,17,16,99
8,18,33,17,16,84
9,16,17,17,16,66
11,0,33,34,16,83
12,84,31,84,16,215
13,68,31,84,16,199
14,137,16,348,18,519
16,102,16,348,18,484
17,999,34,16,16,1065
20,950,34,16,16,1016
21,934,34,16,16,1000
22,915,34,16,16,981
23,899,34,16,16,965
24,884,34,16,16,950
25,868,34,16,16,934
26,851,34,16,16,917
27,833,34,16,16,899
30,783,34,16,16,849
31,766,34,16,16,832
33,733,34,16,16,799
35,699,34,16,16,765
36,685,34,16,16,751
39,634,34,16,16,700
40,616,34,16,16,682
41,600,34,16,16,666
42,584,34,16,16,650
43,568,34,16,16,634
44,551,34,16,16,617
45,533,34,16,16,599
46,517,34,16,16,583
47,500,34,16,16,566
48,484,34,16,16,550
49,467,34,16,16,533
50,450,34,16,16,516
52,416,34,16,16,482
53,399,34,16,16,465
55,368,34,16,16,434
56,351,34,16,16,417
57,335,34,16,16,401
58,318,34,16,16,384
59,384,15,18,16,433
61,351,15,18,16,400
64,302,15,18,16,351
66,269,15,18,16,318
67,253,15,18,16,302
68,235,15,18,16,284
70,202,15,18,16,251
71,184,15,18,16,233
73,152,15,18,16,201
74,135,15,18,16,184
75,119,15,18,16,168
76,100,15,18,16,149
77,85,15,18,16,134
78,68,15,18,16,117
80,35,15,18,16,84
81,19,15,18,16,68
83,18,16,31,19,84
86,16,36,16,16,84
87,117,17,86,14,234
89,81,17,86,14,198
90,65,17,86,14,182
91,49,17,86,14,166
92,32,17,86,14,149
94,34,17,52,14,117
95,17,17,52,14,100
97,19,14,19,14,66
100,32,16,17,17,82
101,34,34,16,17,101
102,134,14,86,16,250
103,118,14,86,16,234
106,68,14,86,16,184
107,65,86,6,10,167
108,48,86,6,10,150
109,33,86,6,10,135
110,14,86,6,10,116
111,86,16,17,16,135
112,69,16,17,16,118
115,0,33,17,16,66
117,70,32,132,16,250
118,53,32,132,16,233
119,37,32,132,16,217
120,20,32,132,16,200
121,14,18,132,16,180
123,32,32,68,16,148
127,84,18,16,16,134
128,68,18,16,16,118
129,49,18,16,16,99
130,33,18,16,16,83
131,16,18,16,16,66
132,0,18,16,16,50
133,16,16,18,17,67
135,0,35,32,17,84
136,17,32,34,17,100
137,15,17,34,17,83
138,0,17,34,17,68
140,83,33,85,15,216
141,66,33,85,15,199
142,49,33,85,15,182
143,32,33,85,15,165
144,17,33,85,15,150
146,17,35,50,15,117
151,18,15,18,16,67
152,15,34,34,16,99
153,18,16,34,16,84
154,33,17,16,17,83
156,17,33,34,14,98
157,81,18,85,15,199
158,65,18,85,15,183
159,48,18,85,15,166
161,14,18,85,15,132
162,500,17,17,17,551
163,482,17,17,17,533
164,466,17,17,17,517
165,450,17,17,17,501
166,432,17,17,17,483
167,416,17,17,17,467
169,382,17,17,17,433
170,364,17,17,17,415
171,348,17,17,17,399
172,332,17,17,17,383
173,315,17,17,17,366
175,282,17,17,17,333
176,266,17,17,17,317
177,248,17,17,17,299
181,183,17,17,17,234
182,166,17,17,17,217
183,148,17,17,17,199
185,116,17,17,17,167
186,100,17,17,17,151
189,167,33,82,17,299
190,150,33,82,17,282
191,133,33,82,17,265
192,119,33,82,17,251
193,102,33,82,17,234
194,85,33,82,17,217
196,84,34,48,17,183
198,49,34,48,17,148
199,33,34,48,17,132
201,17,17,48,17,99
203,16,17,15,17,65
204,100,15,119,16,250
205,83,15,119,16,233
206,68,15,119,16,218
207,51,15,119,16,201
208,34,15,119,16,184
209,17,15,119,16,167
210,0,15,119,16,150
211,34,35,81,17,167
212,84,34,15,17,150
214,51,34,15,17,117
216,34,16,15,17,82
220,84,34,82,19,219
221,67,34,82,19,202
223,32,34,82,19,167
224,15,34,82,19,150
